,XOM
2017-07-24,56.81550216674805
2017-07-25,57.10002899169922
2017-07-26,57.17115783691406
2017-07-27,57.49839782714844
2017-07-28,56.62342834472656
2017-07-31,56.93642044067383
2017-08-01,57.02888870239258
2017-08-02,57.334774017333984
2017-08-03,57.256534576416016
2017-08-04,57.05735397338867
2017-08-07,57.02178192138672
2017-08-08,56.87949752807617
2017-08-09,57.05735397338867
2017-08-10,56.71977615356445
2017-08-11,56.17389678955078
2017-08-14,56.188270568847656
2017-08-15,56.051780700683594
2017-08-16,55.64242172241211
2017-08-17,54.77333068847656
2017-08-18,55.0462532043457
2017-08-21,54.85951614379883
2017-08-22,55.11808776855469
2017-08-23,55.02471923828125
2017-08-24,54.82360076904297
2017-08-25,55.10371780395508
2017-08-28,54.92417526245117
2017-08-29,54.909786224365234
2017-08-30,54.65840530395508
2017-08-31,54.82360076904297
2017-09-01,54.9959831237793
2017-09-05,55.434112548828125
2017-09-06,56.58329391479492
2017-09-07,56.762874603271484
2017-09-08,56.612030029296875
2017-09-11,56.92087936401367
2017-09-12,57.100440979003906
2017-09-13,57.294376373291016
2017-09-14,57.52420425415039
2017-09-15,57.50983810424805
2017-09-18,57.52420425415039
2017-09-19,57.61758041381836
2017-09-20,57.8546028137207
2017-09-21,57.380558013916016
2017-09-22,57.402099609375
2017-09-25,58.163455963134766
2017-09-26,58.09880828857422
2017-09-27,58.486656188964844
2017-09-28,59.03251647949219
2017-09-29,58.881683349609375
2017-10-02,58.630313873291016
2017-10-03,58.723690032958984
2017-10-04,58.745216369628906
2017-10-05,58.9104118347168
2017-10-06,58.687747955322266
2017-10-09,58.9176025390625
2017-10-10,59.08279800415039
2017-10-11,59.32701110839844
2017-10-12,59.204891204833984
2017-10-13,59.19053649902344
2017-10-16,59.47783279418945
2017-10-17,59.58556365966797
2017-10-18,59.44192886352539
2017-10-19,59.42756652832031
2017-10-20,59.69331359863281
2017-10-23,59.78668212890625
2017-10-24,59.95187759399414
2017-10-25,59.73640060424805
2017-10-26,59.95187759399414
2017-10-27,60.124244689941406
2017-10-30,60.00215148925781
2017-10-31,59.86567687988281
2017-11-01,60.23918914794922
2017-11-02,59.994956970214844
2017-11-03,59.743595123291016
2017-11-06,60.152976989746094
2017-11-07,60.03087615966797
2017-11-08,59.95187759399414
2017-11-09,60.311012268066406
2017-11-10,60.12249755859375
2017-11-13,60.08628463745117
2017-11-14,59.615108489990234
2017-11-15,58.86845397949219
2017-11-16,58.39727020263672
2017-11-17,58.165321350097656
2017-11-20,58.39004135131836
2017-11-21,58.62199401855469
2017-11-22,58.788719177246094
2017-11-24,59.020687103271484
2017-11-27,58.79597091674805
2017-11-28,59.2019157409668
2017-11-29,59.636837005615234
2017-11-30,60.37624740600586
2017-12-01,60.49946594238281
2017-12-04,60.579200744628906
2017-12-05,60.08628463745117
2017-12-06,59.64411163330078
2017-12-07,59.8398323059082
2017-12-08,59.919559478759766
2017-12-11,60.18775939941406
2017-12-12,59.9920539855957
2017-12-13,60.253013610839844
2017-12-14,60.09355545043945
2017-12-15,60.18775939941406
2017-12-18,60.12249755859375
2017-12-19,59.76008605957031
2017-12-20,60.0717887878418
2017-12-21,60.78217697143555
2017-12-22,60.86918640136719
2017-12-26,60.87639617919922
2017-12-27,60.81842041015625
2017-12-28,60.90541076660156
2017-12-29,60.62994384765625
2018-01-02,61.63754653930664
2018-01-03,62.84811019897461
2018-01-04,62.93511199951172
2018-01-05,62.884368896484375
2018-01-08,63.16707992553711
2018-01-09,62.898868560791016
2018-01-10,62.398681640625
2018-01-11,63.014854431152344
2018-01-12,63.4425163269043
2018-01-16,63.043846130371094
2018-01-17,63.79047775268555
2018-01-18,63.37730407714844
2018-01-19,63.174320220947266
2018-01-22,63.971710205078125
2018-01-23,64.00794219970703
2018-01-24,64.17466735839844
2018-01-25,64.05870056152344
2018-01-26,64.5153579711914
