,DTE
2023-10-27,92.66621398925781
2023-10-30,92.09249114990234
2023-10-31,92.15941619873047
2023-11-01,92.37935638427734
2023-11-02,94.4830093383789
2023-11-03,95.79301452636719
2023-11-06,94.34912872314453
2023-11-07,94.21526336669922
2023-11-08,94.2248306274414
2023-11-09,94.18658447265625
2023-11-10,94.2535171508789
2023-11-13,93.38336944580078
2023-11-14,97.29426574707031
2023-11-15,97.60025787353516
2023-11-16,98.80506134033203
2023-11-17,99.06324005126953
2023-11-20,98.3652114868164
2023-11-21,98.73814392089844
2023-11-22,100.07682800292969
2023-11-24,100.7557373046875
2023-11-27,100.26807403564453
2023-11-28,100.42106628417969
2023-11-29,99.57960510253906
2023-11-30,99.55091857910156
2023-12-01,103.4331283569336
2023-12-04,103.66261291503906
2023-12-05,101.9892578125
2023-12-06,102.6299057006836
2023-12-07,102.52473449707031
2023-12-08,103.85385131835938
2023-12-11,105.26904296875
2023-12-12,105.10649108886719
2023-12-13,108.35759735107422
2023-12-14,107.50657653808594
2023-12-15,106.04947662353516
2023-12-18,105.97228240966797
2023-12-19,106.90829467773438
2023-12-20,105.50910186767578
2023-12-21,105.89508056640625
2023-12-22,105.779296875
2023-12-26,106.31001281738281
2023-12-27,105.84683990478516
2023-12-28,106.54161071777344
2023-12-29,106.39686584472656
2024-01-02,107.84430694580078
2024-01-03,107.09164428710938
2024-01-04,106.65740203857422
2024-01-05,106.77320098876953
2024-01-08,107.61271667480469
2024-01-09,107.06269073486328
2024-01-10,106.94690704345703
2024-01-11,104.23534393310547
2024-01-12,105.03626251220703
2024-01-16,103.8300552368164
2024-01-17,102.00627899169922
2024-01-18,101.1764144897461
2024-01-19,100.85797882080078
2024-01-22,100.25969696044922
2024-01-23,100.80973052978516
2024-01-24,98.77365112304688
2024-01-25,100.1632080078125
2024-01-26,99.96055603027344
2024-01-29,100.20179748535156
2024-01-30,100.89656829833984
2024-01-31,101.7264404296875
2024-02-01,103.7046127319336
2024-02-02,101.39835357666016
2024-02-05,100.27899932861328
2024-02-06,100.55883026123047
2024-02-07,101.53345489501953
2024-02-08,100.57814025878906
2024-02-09,100.7518310546875
2024-02-12,102.65280151367188
2024-02-13,100.7228775024414
2024-02-14,101.63959503173828
2024-02-15,103.99410247802734
2024-02-16,104.02305603027344
2024-02-20,103.86865997314453
2024-02-21,105.33541107177734
2024-02-22,103.27037811279297
2024-02-23,104.6502685546875
2024-02-26,102.46947479248047
2024-02-27,103.56951904296875
2024-02-28,104.31254577636719
2024-02-29,104.55377960205078
2024-03-01,104.32218933105469
2024-03-04,105.95298767089844
2024-03-05,106.13632202148438
2024-03-06,107.84430694580078
2024-03-07,108.71278381347656
2024-03-08,108.86717224121094
2024-03-11,108.99261474609375
2024-03-12,106.9951400756836
2024-03-13,107.16883087158203
2024-03-14,105.5573501586914
2024-03-15,105.66449737548828
2024-03-18,106.6385498046875
2024-03-19,107.58335876464844
2024-03-20,107.18400573730469
2024-03-21,106.31710052490234
2024-03-22,106.05411529541016
2024-03-25,105.60604095458984
2024-03-26,104.34952545166016
2024-03-27,108.41130065917969
2024-03-28,109.22949981689453
2024-04-01,107.8561019897461
2024-04-02,108.20674133300781
2024-04-03,107.3982925415039
2024-04-04,106.7164535522461
2024-04-05,106.26840209960938
2024-04-08,106.65802001953125
2024-04-09,107.01841735839844
2024-04-10,103.87224578857422
2024-04-11,103.37548065185547
2024-04-12,103.49237060546875
2024-04-15,102.78131103515625
2024-04-16,100.52153015136719
2024-04-17,102.53780364990234
2024-04-18,103.7164077758789
2024-04-19,105.75215911865234
2024-04-22,107.26193237304688
2024-04-23,107.26193237304688
2024-04-24,108.65481567382812
2024-04-25,108.25544738769531
2024-04-26,106.67749786376953
2024-04-29,107.95349884033203
2024-04-30,107.45673370361328
2024-05-01,108.44052124023438
2024-05-02,109.00547790527344
2024-05-03,109.82366943359375
2024-05-06,109.5704116821289
2024-05-07,110.39835357666016
2024-05-08,111.75228118896484
2024-05-09,113.31074523925781
2024-05-10,112.4925537109375
2024-05-13,112.31723022460938
2024-05-14,111.80097961425781
2024-05-15,113.07697296142578
2024-05-16,113.74906921386719
2024-05-17,113.57373809814453
2024-05-20,113.33023071289062
2024-05-21,114.13868713378906
2024-05-22,112.0737075805664
2024-05-23,109.15156555175781
2024-05-24,110.02821350097656
2024-05-28,110.06717681884766
2024-05-29,108.08985900878906
2024-05-30,109.82366943359375
2024-05-31,113.50556182861328
2024-06-03,113.22308349609375
2024-06-04,113.50556182861328
2024-06-05,111.56720733642578
2024-06-06,110.5931625366211
2024-06-07,109.41456604003906
2024-06-10,109.71652221679688
2024-06-11,110.78797149658203
2024-06-12,109.70677947998047
2024-06-13,109.6191177368164
2024-06-14,109.22949981689453
2024-06-17,108.8756332397461
2024-06-18,108.68885803222656
2024-06-20,109.22950744628906
2024-06-21,109.02307891845703
2024-06-24,110.88092803955078
2024-06-25,108.1482162475586
2024-06-26,108.5708999633789
2024-06-27,109.35729217529297
2024-06-28,109.12137603759766
2024-07-01,107.26353454589844
2024-07-02,107.53876495361328
2024-07-03,107.38147735595703
2024-07-05,107.9024658203125
2024-07-08,107.1553955078125
2024-07-09,106.82118225097656
2024-07-10,107.22421264648438
2024-07-11,111.25445556640625
2024-07-12,112.53234100341797
2024-07-15,111.2052993774414
2024-07-16,112.74859619140625
2024-07-17,115.34368133544922
2024-07-18,114.69490814208984
2024-07-19,114.11494445800781
2024-07-22,115.21589660644531
2024-07-23,113.92818450927734
2024-07-24,115.90398406982422
