,AWK
2021-09-07,173.74220275878906
2021-09-08,178.2274169921875
2021-09-09,177.0848846435547
2021-09-10,174.48814392089844
2021-09-13,172.93016052246094
2021-09-14,174.5731658935547
2021-09-15,173.4116973876953
2021-09-16,171.5704345703125
2021-09-17,168.11444091796875
2021-09-20,169.2570037841797
2021-09-21,168.5110321044922
2021-09-22,167.8123016357422
2021-09-23,167.91615295410156
2021-09-24,166.9341583251953
2021-09-27,161.19309997558594
2021-09-28,158.81361389160156
2021-09-29,160.80596923828125
2021-09-30,159.6162109375
2021-10-01,158.9552459716797
2021-10-04,161.3819580078125
2021-10-05,162.03346252441406
2021-10-06,164.46963500976562
2021-10-07,162.8550262451172
2021-10-08,161.30641174316406
2021-10-11,159.44622802734375
2021-10-12,160.08831787109375
2021-10-13,159.95614624023438
2021-10-14,161.63690185546875
2021-10-15,161.863525390625
2021-10-18,160.8909454345703
2021-10-19,163.02496337890625
2021-10-20,164.27137756347656
2021-10-21,163.87477111816406
2021-10-22,166.0087890625
2021-10-25,165.10231018066406
2021-10-26,165.1967010498047
2021-10-27,163.56317138671875
2021-10-28,165.53668212890625
2021-10-29,164.46963500976562
2021-11-01,164.00698852539062
2021-11-02,166.94358825683594
2021-11-03,158.64361572265625
2021-11-04,159.36126708984375
2021-11-05,160.20169067382812
2021-11-08,159.587890625
2021-11-09,160.64259338378906
2021-11-10,162.99273681640625
2021-11-11,161.71340942382812
2021-11-12,161.79872131347656
2021-11-15,163.63710021972656
2021-11-16,161.79872131347656
2021-11-17,161.8081817626953
2021-11-18,162.50941467285156
2021-11-19,164.30047607421875
2021-11-22,165.42813110351562
2021-11-23,164.0161590576172
2021-11-24,164.3289031982422
2021-11-26,161.3912353515625
2021-11-29,164.24359130859375
2021-11-30,159.74237060546875
2021-12-01,159.0126495361328
2021-12-02,161.44805908203125
2021-12-03,162.64208984375
2021-12-06,164.81216430664062
2021-12-07,167.27601623535156
2021-12-08,167.50344848632812
2021-12-09,166.6126708984375
2021-12-10,166.9159393310547
2021-12-13,171.42662048339844
2021-12-14,169.91043090820312
2021-12-15,172.72488403320312
2021-12-16,173.350341796875
2021-12-17,173.52093505859375
2021-12-20,173.05657958984375
2021-12-21,171.77728271484375
2021-12-22,173.76730346679688
2021-12-23,172.54486083984375
2021-12-27,173.96629333496094
2021-12-28,176.39222717285156
2021-12-29,177.57676696777344
2021-12-30,178.1832733154297
2021-12-31,178.9698028564453
2022-01-03,174.49697875976562
2022-01-04,170.0241241455078
2022-01-05,168.77325439453125
2022-01-06,166.11988830566406
2022-01-07,164.41419982910156
2022-01-10,161.12588500976562
2022-01-11,159.4959716796875
2022-01-12,160.32037353515625
2022-01-13,159.2874755859375
2022-01-14,155.0041961669922
2022-01-18,153.52587890625
2022-01-19,152.5877227783203
2022-01-20,154.17974853515625
2022-01-21,152.9383544921875
2022-01-24,151.42213439941406
2022-01-25,148.77825927734375
2022-01-26,147.40420532226562
2022-01-27,147.9727325439453
