,PSX
2020-07-24,53.900108337402344
2020-07-27,53.510719299316406
2020-07-28,52.673973083496094
2020-07-29,54.33091354370117
2020-07-30,52.268028259277344
2020-07-31,51.38156509399414
2020-08-03,50.63594436645508
2020-08-04,51.24073028564453
2020-08-05,51.33185958862305
2020-08-06,50.51167297363281
2020-08-07,52.08576202392578
2020-08-10,53.742706298828125
2020-08-11,53.113059997558594
2020-08-12,53.36160659790039
2020-08-13,51.886932373046875
2020-08-14,52.74025344848633
2020-08-17,52.40411376953125
2020-08-18,51.52174758911133
2020-08-19,51.61418151855469
2020-08-20,51.23603057861328
2020-08-21,51.23603057861328
2020-08-24,53.4881591796875
2020-08-25,51.79066848754883
2020-08-26,50.44610595703125
2020-08-27,50.63938522338867
2020-08-28,51.925113677978516
2020-08-31,49.135162353515625
2020-09-01,49.40406799316406
2020-09-02,50.46290969848633
2020-09-03,50.1603889465332
2020-09-04,49.56372833251953
2020-09-08,48.706581115722656
2020-09-09,48.63094711303711
2020-09-10,46.52167510986328
2020-09-11,47.95867156982422
2020-09-14,49.05112075805664
2020-09-15,48.78220748901367
2020-09-16,50.84947204589844
2020-09-17,50.71501922607422
2020-09-18,50.269622802734375
2020-09-21,46.99226379394531
2020-09-22,46.52167510986328
2020-09-23,44.22752380371094
2020-09-24,44.41239929199219
2020-09-25,44.43761444091797
2020-09-28,45.36199951171875
2020-09-29,43.857765197753906
2020-09-30,43.56365203857422
2020-10-01,42.252708435058594
2020-10-02,42.90818405151367
2020-10-05,44.16029739379883
2020-10-06,42.90818405151367
2020-10-07,43.639278411865234
2020-10-08,45.076271057128906
2020-10-09,44.57206344604492
2020-10-12,44.92501449584961
2020-10-13,43.08465576171875
2020-10-14,43.76533126831055
2020-10-15,44.126678466796875
2020-10-16,42.504817962646484
2020-10-19,41.135047912597656
2020-10-20,41.67287063598633
2020-10-21,40.94176483154297
2020-10-22,42.025814056396484
2020-10-23,42.420772552490234
2020-10-26,40.45436096191406
2020-10-27,39.55519485473633
2020-10-28,37.160186767578125
2020-10-29,38.63920974731445
2020-10-30,39.21063995361328
2020-11-02,40.30309295654297
2020-11-03,39.933349609375
2020-11-04,40.26947784423828
2020-11-05,40.496376037597656
2020-11-06,39.227455139160156
2020-11-09,47.9250602722168
2020-11-10,48.857845306396484
2020-11-11,49.56372833251953
2020-11-12,46.09309768676758
2020-11-13,49.37886047363281
2020-11-16,53.44113540649414
2020-11-17,54.90901565551758
2020-11-18,51.84524154663086
2020-11-19,52.44264221191406
2020-11-20,52.562110900878906
2020-11-23,56.189151763916016
2020-11-24,57.79358673095703
2020-11-25,56.547584533691406
2020-11-27,55.66856002807617
2020-11-30,51.70016860961914
2020-12-01,52.80960464477539
2020-12-02,54.9858283996582
2020-12-03,55.48935317993164
2020-12-04,59.15904998779297
2020-12-07,57.22178268432617
2020-12-08,57.51194381713867
2020-12-09,58.689659118652344
2020-12-10,60.473323822021484
2020-12-11,59.321189880371094
2020-12-14,57.34126281738281
2020-12-15,58.245887756347656
2020-12-16,57.42660903930664
2020-12-17,57.324195861816406
2020-12-18,57.05109786987305
2020-12-21,56.74387741088867
2020-12-22,57.6143684387207
2020-12-23,59.193180084228516
2020-12-24,58.65554428100586
2020-12-28,59.16758728027344
2020-12-29,58.35681915283203
2020-12-30,60.251426696777344
2020-12-31,59.688167572021484
2021-01-04,59.63695526123047
2021-01-05,61.232845306396484
2021-01-06,60.780540466308594
2021-01-07,61.32673263549805
2021-01-08,60.34531021118164
2021-01-11,61.6766357421875
2021-01-12,62.931156158447266
2021-01-13,61.24992370605469
2021-01-14,63.27253341674805
2021-01-15,61.22433090209961
2021-01-19,63.81871032714844
2021-01-20,64.33930969238281
2021-01-21,62.43618392944336
2021-01-22,61.91559982299805
2021-01-25,61.514488220214844
2021-01-26,60.85734939575195
2021-01-27,60.76347732543945
2021-01-28,60.97683334350586
2021-01-29,57.861854553222656
2021-02-01,57.5034065246582
2021-02-02,58.59579086303711
2021-02-03,60.84029006958008
2021-02-04,61.386470794677734
2021-02-05,61.48036575317383
2021-02-08,64.6806640625
2021-02-09,63.605377197265625
2021-02-10,65.47434997558594
2021-02-11,65.91812896728516
2021-02-12,65.90960693359375
2021-02-16,67.75299072265625
2021-02-17,68.81977081298828
2021-02-18,68.31624603271484
2021-02-19,71.0437240600586
2021-02-22,72.4678726196289
2021-02-23,73.82295989990234
2021-02-24,75.30754089355469
2021-02-25,73.05479431152344
2021-02-26,71.68241882324219
2021-03-01,73.10657501220703
2021-03-02,71.00918579101562
2021-03-03,72.36428833007812
2021-03-04,72.85626983642578
2021-03-05,75.39385986328125
2021-03-08,76.36056518554688
2021-03-09,73.71077728271484
2021-03-10,76.33466339111328
2021-03-11,75.72184753417969
2021-03-12,76.52455139160156
