,INTU
2023-02-21,391.8436584472656
2023-02-22,401.8508605957031
2023-02-23,407.28961181640625
2023-02-24,415.1311340332031
2023-02-27,408.0212707519531
2023-02-28,402.6419372558594
2023-03-01,396.7978210449219
2023-03-02,395.9078674316406
2023-03-03,403.9670104980469
2023-03-06,408.1102600097656
2023-03-07,404.7284240722656
2023-03-08,412.0261535644531
2023-03-09,400.0708923339844
2023-03-10,388.2342529296875
2023-03-13,387.1960144042969
2023-03-14,403.7494201660156
2023-03-15,401.7915344238281
2023-03-16,413.4896240234375
2023-03-17,409.0793762207031
2023-03-20,407.2499694824219
2023-03-21,417.326416015625
2023-03-22,409.59356689453125
2023-03-23,427.66986083984375
2023-03-24,424.7824401855469
2023-03-27,422.1816711425781
2023-03-28,414.656494140625
2023-03-29,428.4609680175781
2023-03-30,435.1851501464844
2023-03-31,440.86114501953125
2023-04-03,435.7586669921875
2023-04-04,434.90826416015625
2023-04-05,434.2556457519531
2023-04-06,442.5668640136719
2023-04-10,440.5460510253906
2023-04-11,433.3937683105469
2023-04-12,431.00640869140625
2023-04-13,437.6633605957031
2023-04-14,437.4751281738281
2023-04-17,435.95947265625
2023-04-18,438.43597412109375
2023-04-19,441.3088073730469
2023-04-20,443.2008361816406
2023-04-21,442.2102355957031
2023-04-24,438.1685791015625
2023-04-25,415.88958740234375
2023-04-26,409.8171691894531
2023-04-27,425.1320495605469
2023-04-28,439.78326416015625
2023-05-01,438.35675048828125
2023-05-02,432.3635559082031
2023-05-03,425.617431640625
2023-05-04,418.48504638671875
2023-05-05,421.9522399902344
2023-05-08,422.8833923339844
2023-05-09,423.66595458984375
2023-05-10,427.4698791503906
2023-05-11,420.9021911621094
2023-05-12,423.60650634765625
2023-05-15,422.20977783203125
2023-05-16,417.45477294921875
2023-05-17,427.80670166015625
2023-05-18,443.45843505859375
2023-05-19,441.84375
2023-05-22,449.8478698730469
2023-05-23,445.57830810546875
2023-05-24,412.016357421875
2023-05-25,409.2227783203125
2023-05-26,414.5028076171875
2023-05-30,402.278564453125
2023-05-31,415.186279296875
2023-06-01,418.15814208984375
2023-06-02,426.4495849609375
2023-06-05,438.6836853027344
2023-06-06,444.2806701660156
2023-06-07,418.3958740234375
2023-06-08,419.3865051269531
2023-06-09,427.4996337890625
2023-06-12,441.9328918457031
2023-06-13,443.34942626953125
2023-06-14,442.0319519042969
2023-06-15,452.0272216796875
2023-06-16,450.75927734375
2023-06-20,450.85833740234375
2023-06-21,446.3014831542969
2023-06-22,446.6086120605469
2023-06-23,448.44122314453125
2023-06-26,449.04547119140625
2023-06-27,454.7217102050781
2023-06-28,455.31610107421875
2023-06-29,451.5418395996094
2023-06-30,453.8896179199219
2023-07-03,447.3317565917969
2023-07-05,453.54290771484375
2023-07-06,447.26239013671875
2023-07-07,444.7518005371094
