,MSI
2022-04-27,209.10133361816406
2022-04-28,215.8927459716797
2022-04-29,206.73117065429688
2022-05-02,207.7759552001953
2022-05-03,208.18231201171875
2022-05-04,212.23587036132812
2022-05-05,203.53858947753906
2022-05-06,199.78494262695312
2022-05-09,195.49920654296875
2022-05-10,196.24412536621094
2022-05-11,195.37344360351562
2022-05-12,194.97679138183594
2022-05-13,208.27903747558594
2022-05-16,202.67755126953125
2022-05-17,206.44091796875
2022-05-18,198.77882385253906
2022-05-19,203.41281127929688
2022-05-20,203.4321746826172
2022-05-23,205.86045837402344
2022-05-24,207.6598663330078
2022-05-25,206.4892578125
2022-05-26,210.7847137451172
2022-05-27,215.7476348876953
2022-05-31,212.58413696289062
2022-06-01,210.5331573486328
2022-06-02,216.81178283691406
2022-06-03,218.20494079589844
2022-06-06,214.04495239257812
2022-06-07,214.74151611328125
2022-06-08,210.76535034179688
2022-06-09,207.27288818359375
2022-06-10,202.4357147216797
2022-06-13,196.01194763183594
2022-06-14,197.4590606689453
2022-06-15,197.2648468017578
2022-06-16,191.33065795898438
2022-06-17,197.00259399414062
2022-06-21,199.2752685546875
2022-06-22,203.77198791503906
2022-06-23,205.00547790527344
2022-06-24,211.0756072998047
2022-06-27,210.8716278076172
2022-06-28,204.1896514892578
2022-06-29,203.69430541992188
2022-06-30,203.5680694580078
2022-07-01,204.03424072265625
2022-07-05,206.1223907470703
2022-07-06,210.67738342285156
2022-07-07,213.09571838378906
2022-07-08,208.47271728515625
2022-07-11,207.30728149414062
2022-07-12,202.17922973632812
2022-07-13,204.9569091796875
2022-07-14,203.73318481445312
2022-07-15,208.8320770263672
2022-07-18,205.7921600341797
2022-07-19,211.998291015625
2022-07-20,210.7842559814453
2022-07-21,215.82485961914062
2022-07-22,214.79539489746094
2022-07-25,217.0777587890625
2022-07-26,217.81588745117188
2022-07-27,223.62379455566406
2022-07-28,229.51910400390625
2022-07-29,231.7238006591797
2022-08-01,229.82017517089844
2022-08-02,230.62628173828125
2022-08-03,231.58779907226562
2022-08-04,232.79212951660156
2022-08-05,243.00938415527344
2022-08-08,241.00865173339844
2022-08-09,242.07699584960938
2022-08-10,245.71910095214844
2022-08-11,245.01980590820312
2022-08-12,248.6036376953125
2022-08-15,248.02088928222656
2022-08-16,249.2057647705078
2022-08-17,248.0694580078125
2022-08-18,248.86582946777344
2022-08-19,245.9618682861328
2022-08-22,241.5039825439453
2022-08-23,239.0856475830078
2022-08-24,241.474853515625
2022-08-25,247.0593719482422
2022-08-26,241.1737823486328
2022-08-29,239.95973205566406
2022-08-30,238.07557678222656
2022-08-31,236.40505981445312
2022-09-01,237.14317321777344
2022-09-02,236.7547149658203
2022-09-06,236.56048583984375
2022-09-07,242.36837768554688
2022-09-08,243.1550750732422
2022-09-09,243.01907348632812
2022-09-12,246.2144012451172
2022-09-13,238.99822998046875
2022-09-14,236.09466552734375
2022-09-15,232.05111694335938
2022-09-16,233.064453125
2022-09-19,234.3992919921875
2022-09-20,233.36648559570312
2022-09-21,231.75880432128906
2022-09-22,226.06861877441406
2022-09-23,222.89222717285156
2022-09-26,220.01788330078125
2022-09-27,219.87173461914062
2022-09-28,223.7301788330078
2022-09-29,219.52098083496094
2022-09-30,218.22509765625
2022-10-03,223.0968475341797
2022-10-04,229.38140869140625
2022-10-05,230.7844696044922
2022-10-06,228.1926727294922
2022-10-07,223.9542694091797
2022-10-10,221.19688415527344
2022-10-11,218.4979248046875
