,ORCL
2020-10-12,57.896732330322266
2020-10-13,57.43515396118164
2020-10-14,57.425716400146484
2020-10-15,57.011226654052734
2020-10-16,56.7945671081543
2020-10-19,56.163421630859375
2020-10-20,56.28586959838867
2020-10-21,56.21051025390625
2020-10-22,56.22935104370117
2020-10-23,56.427181243896484
2020-10-26,54.15690612792969
2020-10-27,53.77067184448242
2020-10-28,52.3670539855957
2020-10-29,52.77214050292969
2020-10-30,52.85691833496094
2020-11-02,53.17720031738281
2020-11-03,53.50690841674805
2020-11-04,53.214881896972656
2020-11-05,53.37502670288086
2020-11-06,53.50690841674805
2020-11-09,53.54458999633789
2020-11-10,53.38443374633789
2020-11-11,53.883724212646484
2020-11-12,53.17720031738281
2020-11-13,53.61053466796875
2020-11-16,53.83662033081055
2020-11-17,53.808349609375
2020-11-18,52.988800048828125
2020-11-19,53.17720031738281
2020-11-20,52.47068786621094
2020-11-23,52.82864761352539
2020-11-24,54.232261657714844
2020-11-25,54.08155059814453
2020-11-27,54.41124725341797
2020-11-30,54.37356948852539
2020-12-01,55.33442687988281
2020-12-02,55.65471649169922
2020-12-03,55.833709716796875
2020-12-04,56.48369598388672
2020-12-07,56.332977294921875
2020-12-08,55.60761642456055
2020-12-09,56.26703643798828
2020-12-10,56.03152847290039
2020-12-11,57.09601593017578
2020-12-14,57.23732376098633
2020-12-15,58.273536682128906
2020-12-16,59.140201568603516
2020-12-17,59.92208480834961
2020-12-18,61.28800964355469
2020-12-21,60.74164581298828
2020-12-22,61.37281036376953
2020-12-23,61.51410675048828
2020-12-24,61.19382095336914
2020-12-28,61.109039306640625
2020-12-29,60.722808837890625
2020-12-30,60.66628646850586
2020-12-31,60.939476013183594
2021-01-04,60.05397033691406
2021-01-05,59.309776306152344
2021-01-06,59.16792297363281
2021-01-07,59.640743255615234
2021-01-08,59.933895111083984
2021-01-11,59.6029167175293
2021-01-12,59.02608108520508
2021-01-13,58.6856575012207
2021-01-14,58.250667572021484
2021-01-15,58.420875549316406
2021-01-19,57.95751953125
2021-01-20,58.21284484863281
2021-01-21,57.881874084472656
2021-01-22,57.07809066772461
2021-01-25,57.58872985839844
2021-01-26,58.43980407714844
2021-01-27,59.149009704589844
2021-01-28,57.891334533691406
2021-01-29,57.14429473876953
2021-02-01,58.16556167602539
2021-02-02,58.97880172729492
2021-02-03,58.7896728515625
2021-02-04,59.905521392822266
2021-02-05,60.14191436767578
2021-02-08,59.678565979003906
2021-02-09,60.208126068115234
2021-02-10,59.829872131347656
2021-02-11,59.29085159301758
2021-02-12,59.650203704833984
