,FANG
2018-07-02,103.43000030517578
2018-07-03,104.02994537353516
2018-07-05,105.58978271484375
2018-07-06,107.9655532836914
2018-07-09,109.3254165649414
2018-07-10,107.15764617919922
2018-07-11,104.59788513183594
2018-07-12,104.21392059326172
2018-07-13,105.06181335449219
2018-07-16,103.98192596435547
2018-07-17,104.5098876953125
2018-07-18,104.4619140625
2018-07-19,105.66178131103516
2018-07-20,104.90985107421875
2018-07-23,104.92587280273438
2018-07-24,106.74967956542969
2018-07-25,107.73358917236328
2018-07-26,107.62958526611328
2018-07-27,105.86177825927734
2018-07-30,106.95767974853516
2018-07-31,105.5497817993164
2018-08-01,106.29370880126953
2018-08-02,107.58161926269531
2018-08-03,104.6298828125
2018-08-06,106.88565826416016
2018-08-07,107.78157806396484
2018-08-08,107.02165222167969
2018-08-09,104.90985107421875
2018-08-10,107.8295669555664
2018-08-13,105.48580169677734
2018-08-14,106.98963928222656
2018-08-15,94.15089416503906
2018-08-16,96.35868835449219
2018-08-17,96.23456573486328
2018-08-20,96.8831787109375
2018-08-21,98.16438293457031
2018-08-22,99.47761535644531
2018-08-23,97.37162017822266
2018-08-24,97.49173736572266
2018-08-27,98.2764892578125
2018-08-28,96.98725891113281
2018-08-29,97.619873046875
2018-08-30,97.30756378173828
2018-08-31,96.95523834228516
2018-09-04,96.34667205810547
2018-09-05,94.05650329589844
2018-09-06,91.67826843261719
2018-09-07,90.20490264892578
2018-09-10,89.77249145507812
2018-09-11,93.20772552490234
2018-09-12,96.4988021850586
2018-09-13,95.13751983642578
2018-09-14,97.47575378417969
2018-09-17,98.24446105957031
2018-09-18,99.89401245117188
2018-09-19,102.96089935302734
2018-09-20,101.47148895263672
2018-09-21,102.93687438964844
2018-09-24,106.38809967041016
2018-09-25,107.7093505859375
2018-09-26,105.16299438476562
2018-09-27,107.34902954101562
2018-09-28,108.25387573242188
2018-10-01,109.54309844970703
2018-10-02,109.7432861328125
2018-10-03,112.04144287109375
2018-10-04,108.30193328857422
2018-10-05,109.18275451660156
2018-10-08,106.40412902832031
2018-10-09,108.20584869384766
2018-10-10,103.52143859863281
2018-10-11,99.79791259765625
2018-10-12,100.99103546142578
2018-10-15,102.44039916992188
2018-10-16,104.75460052490234
2018-10-17,103.70560455322266
2018-10-18,101.66368103027344
2018-10-19,101.7757797241211
2018-10-22,99.74185943603516
2018-10-23,95.37775421142578
2018-10-24,90.40509033203125
2018-10-25,91.47809600830078
2018-10-26,91.09371185302734
2018-10-29,86.61751556396484
2018-10-30,87.98678588867188
2018-10-31,89.97267150878906
2018-11-01,92.44700622558594
2018-11-02,91.54215240478516
2018-11-05,92.87940979003906
2018-11-06,90.78144836425781
2018-11-07,92.78331756591797
2018-11-08,88.6033935546875
2018-11-09,91.16580200195312
2018-11-12,88.26707458496094
2018-11-13,86.36127471923828
2018-11-14,87.04994201660156
2018-11-15,89.87660217285156
2018-11-16,91.63619995117188
2018-11-19,91.2353744506836
2018-11-20,87.16301727294922
2018-11-21,87.56385040283203
2018-11-23,84.07666778564453
2018-11-26,87.62797546386719
2018-11-27,88.05284118652344
2018-11-28,88.02078247070312
2018-11-29,89.78438568115234
2018-11-30,88.48572540283203
2018-12-03,89.92069244384766
