,MPWR
2018-06-29,127.11864471435547
2018-07-02,128.10769653320312
2018-07-03,126.19620513916016
2018-07-05,129.6577911376953
2018-07-06,131.53126525878906
2018-07-09,131.4456329345703
2018-07-10,133.7851104736328
2018-07-11,130.4851531982422
2018-07-12,133.3571319580078
2018-07-13,133.0528564453125
2018-07-16,132.84356689453125
2018-07-17,134.42227172851562
2018-07-18,134.51734924316406
2018-07-19,134.85018920898438
2018-07-20,133.82315063476562
2018-07-23,134.57440185546875
2018-07-24,130.73243713378906
2018-07-25,128.84945678710938
2018-07-26,129.4866180419922
2018-07-27,126.02503967285156
2018-07-30,124.62709045410156
2018-07-31,126.17719268798828
2018-08-01,125.49248504638672
2018-08-02,128.98260498046875
2018-08-03,129.0491485595703
2018-08-06,130.54222106933594
2018-08-07,134.51734924316406
2018-08-08,134.85018920898438
2018-08-09,132.84356689453125
2018-08-10,132.5868377685547
2018-08-13,132.93870544433594
2018-08-14,134.33668518066406
2018-08-15,133.06234741210938
2018-08-16,133.44277954101562
2018-08-17,133.82315063476562
2018-08-20,135.0118865966797
2018-08-21,137.64613342285156
2018-08-22,138.4259490966797
2018-08-23,138.4164276123047
2018-08-24,140.02359008789062
2018-08-27,141.96360778808594
2018-08-28,141.83998107910156
2018-08-29,142.1348419189453
2018-08-30,141.25985717773438
2018-08-31,142.524658203125
2018-09-04,143.96067810058594
2018-09-05,141.98265075683594
2018-09-06,142.00164794921875
2018-09-07,140.73678588867188
2018-09-10,139.34840393066406
2018-09-11,138.85386657714844
2018-09-12,134.44125366210938
2018-09-13,130.07626342773438
2018-09-14,131.4361572265625
2018-09-17,126.0535659790039
2018-09-18,126.51004028320312
2018-09-19,127.09013366699219
2018-09-20,128.6307373046875
2018-09-21,126.38640594482422
2018-09-24,126.30078887939453
2018-09-25,122.8106918334961
2018-09-26,120.7185287475586
2018-09-27,120.40394592285156
2018-09-28,119.66041564941406
2018-10-01,118.61185455322266
2018-10-02,118.96453857421875
2018-10-03,121.98633575439453
2018-10-04,118.36398315429688
2018-10-05,113.87423706054688
2018-10-08,111.26237487792969
2018-10-09,111.2528305053711
2018-10-10,105.23786926269531
2018-10-11,105.70496368408203
2018-10-12,108.63138580322266
2018-10-15,108.66001892089844
2018-10-16,112.76847076416016
2018-10-17,113.31182861328125
2018-10-18,110.33767700195312
2018-10-19,109.0031967163086
2018-10-22,109.07940673828125
2018-10-23,109.57512664794922
2018-10-24,99.29915618896484
2018-10-25,103.35999298095703
2018-10-26,107.34453582763672
2018-10-29,106.14344787597656
2018-10-30,109.90876007080078
2018-10-31,112.59689331054688
2018-11-01,118.50697326660156
2018-11-02,118.46886444091797
2018-11-05,116.8006820678711
2018-11-06,118.41165161132812
2018-11-07,119.82245635986328
2018-11-08,123.17784118652344
2018-11-09,118.8883056640625
2018-11-12,113.74077606201172
2018-11-13,115.33269500732422
2018-11-14,116.42892456054688
2018-11-15,121.01399993896484
2018-11-16,121.85287475585938
2018-11-19,114.98955535888672
2018-11-20,114.69402313232422
2018-11-21,117.80158996582031
2018-11-23,118.51652526855469
2018-11-26,121.0331039428711
2018-11-27,117.83972930908203
2018-11-28,122.95864868164062
2018-11-29,123.3399429321289
2018-11-30,125.8946304321289
2018-12-03,128.43023681640625
2018-12-04,120.90914154052734
2018-12-06,119.6699447631836
2018-12-07,116.1334228515625
2018-12-10,114.53195190429688
2018-12-11,115.02765655517578
2018-12-12,117.86833190917969
2018-12-13,115.58055877685547
2018-12-14,113.07352447509766
2018-12-17,108.43124389648438
2018-12-18,112.36810302734375
2018-12-19,107.55426025390625
2018-12-20,107.46847534179688
2018-12-21,105.24739837646484
2018-12-24,101.63462829589844
2018-12-26,108.69813537597656
2018-12-27,108.75533294677734
2018-12-28,109.91181182861328
2018-12-31,111.10647583007812
2019-01-02,110.33231353759766
2019-01-03,103.80453491210938
2019-01-04,108.07674407958984
2019-01-07,110.91533660888672
2019-01-08,112.8077392578125
2019-01-09,116.5638427734375
2019-01-10,117.35714721679688
2019-01-11,118.67604064941406
2019-01-14,115.11112976074219
2019-01-15,117.2137680053711
2019-01-16,116.0094985961914
2019-01-17,117.17554473876953
2019-01-18,119.24951934814453
2019-01-22,115.62720489501953
2019-01-23,114.34651184082031
2019-01-24,121.18968963623047
2019-01-25,124.92670440673828
2019-01-28,122.5851058959961
2019-01-29,120.85517120361328
2019-01-30,121.15147399902344
2019-01-31,120.96031951904297
2019-02-01,123.80847930908203
2019-02-04,125.586181640625
2019-02-05,126.59928894042969
2019-02-06,128.95046997070312
2019-02-07,125.28032684326172
2019-02-08,125.48103332519531
2019-02-11,124.88847351074219
2019-02-12,126.15962982177734
2019-02-13,128.33871459960938
2019-02-14,129.982666015625
2019-02-15,132.3529510498047
2019-02-19,130.38406372070312
2019-02-20,130.60391235351562
2019-02-21,129.30404663085938
2019-02-22,130.5178985595703
2019-02-25,131.4544677734375
2019-02-26,130.60391235351562
2019-02-27,128.95997619628906
2019-02-28,128.17628479003906
2019-03-01,130.15469360351562
2019-03-04,130.4604949951172
2019-03-05,131.03399658203125
2019-03-06,128.95997619628906
2019-03-07,128.1667022705078
2019-03-08,128.35787963867188
2019-03-11,131.4163055419922
2019-03-12,131.59783935546875
2019-03-13,132.5536346435547
2019-03-14,131.8463897705078
2019-03-15,134.8570098876953
2019-03-18,134.68495178222656
2019-03-19,135.2584228515625
2019-03-20,134.31222534179688
2019-03-21,138.59397888183594
2019-03-22,133.49026489257812
2019-03-25,132.4867401123047
2019-03-26,134.05413818359375
2019-03-27,129.4187469482422
2019-03-28,128.72857666015625
2019-03-29,129.8788604736328
2019-04-01,134.52804565429688
2019-04-02,132.70668029785156
2019-04-03,138.7841339111328
2019-04-04,137.78721618652344
2019-04-05,138.63079833984375
2019-04-08,139.79063415527344
2019-04-09,140.01112365722656
2019-04-10,142.6855926513672
2019-04-11,142.6951446533203
2019-04-12,145.93519592285156
2019-04-15,145.29293823242188
2019-04-16,148.38916015625
2019-04-17,148.6671905517578
2019-04-18,147.53602600097656
2019-04-22,146.99923706054688
2019-04-23,148.29331970214844
2019-04-24,151.00613403320312
2019-04-25,149.2902374267578
2019-04-26,148.56175231933594
2019-04-29,147.81405639648438
2019-04-30,149.2615203857422
2019-05-01,148.00575256347656
2019-05-02,149.70242309570312
2019-05-03,138.96630859375
2019-05-06,135.3620147705078
2019-05-07,132.6875
2019-05-08,131.56597900390625
2019-05-09,131.0675048828125
2019-05-10,130.51148986816406
2019-05-13,121.28038024902344
2019-05-14,123.015380859375
2019-05-15,123.82061767578125
2019-05-16,123.41800689697266
2019-05-17,119.53572082519531
2019-05-20,116.22859191894531
2019-05-21,117.88694763183594
2019-05-22,116.2861328125
2019-05-23,113.84172821044922
2019-05-24,114.39772033691406
2019-05-28,111.92453002929688
