,LVS
2017-06-21,54.88978958129883
2017-06-22,54.69427490234375
2017-06-23,55.22982406616211
2017-06-26,54.8217887878418
2017-06-27,54.524253845214844
2017-06-28,55.21282958984375
2017-06-29,53.98870086669922
2017-06-30,54.311737060546875
2017-07-03,53.24063491821289
2017-07-05,53.35964584350586
2017-07-06,52.322547912597656
2017-07-07,52.50955581665039
2017-07-10,52.84960174560547
2017-07-11,52.611572265625
2017-07-12,52.943111419677734
2017-07-13,52.84960174560547
2017-07-14,51.914520263671875
2017-07-17,51.9740104675293
2017-07-18,53.10462188720703
2017-07-19,52.6370735168457
2017-07-20,52.84109878540039
2017-07-21,53.01111602783203
2017-07-24,53.30864334106445
2017-07-25,53.232139587402344
2017-07-26,52.40755844116211
2017-07-27,52.93460464477539
2017-07-28,52.093017578125
2017-07-31,52.37355041503906
2017-08-01,52.05052185058594
2017-08-02,51.463966369628906
2017-08-03,51.66798782348633
2017-08-04,51.82950210571289
2017-08-07,51.914520263671875
2017-08-08,51.85499954223633
2017-08-09,51.66798782348633
2017-08-10,51.14093017578125
2017-08-11,50.71590042114258
2017-08-14,51.676483154296875
2017-08-15,52.58607864379883
2017-08-16,52.31404495239258
2017-08-17,51.09843063354492
2017-08-18,51.0134162902832
2017-08-21,51.21743392944336
2017-08-22,51.489463806152344
2017-08-23,50.911415100097656
2017-08-24,51.20893859863281
2017-08-25,51.106929779052734
2017-08-28,51.24294662475586
2017-08-29,51.60847473144531
2017-08-30,51.48097229003906
2017-08-31,52.88359832763672
2017-09-01,53.44466018676758
2017-09-05,53.26613998413086
2017-09-06,53.776187896728516
2017-09-07,53.886695861816406
2017-09-08,53.65717315673828
2017-09-11,54.643272399902344
2017-09-12,54.81328201293945
2017-09-13,54.779293060302734
2017-09-14,54.48176193237305
2017-09-15,53.76768493652344
2017-09-18,54.090721130371094
2017-09-19,54.85579299926758
2017-09-20,54.70962142944336
2017-09-21,54.701026916503906
2017-09-22,54.65803527832031
2017-09-25,53.574684143066406
2017-09-26,54.314109802246094
2017-09-27,55.16533279418945
2017-09-28,54.71821212768555
2017-09-29,55.16533279418945
2017-10-02,55.86176300048828
2017-10-03,55.79297637939453
2017-10-04,55.939151763916016
2017-10-05,55.92195510864258
2017-10-06,55.251304626464844
2017-10-09,54.73542022705078
2017-10-10,54.477481842041016
2017-10-11,54.44308090209961
2017-10-12,53.032997131347656
2017-10-13,53.31672286987305
2017-10-16,53.9959831237793
2017-10-17,53.574684143066406
2017-10-18,53.21355056762695
2017-10-19,53.60047149658203
2017-10-20,53.90140151977539
2017-10-23,54.279720306396484
2017-10-24,54.29691696166992
2017-10-25,54.09056091308594
2017-10-26,53.806827545166016
2017-10-27,53.09318542480469
2017-10-30,52.843833923339844
2017-10-31,54.49467086791992
2017-11-01,55.345882415771484
2017-11-02,55.80158615112305
2017-11-03,56.644187927246094
2017-11-06,57.22026824951172
2017-11-07,57.89950942993164
2017-11-08,58.38100814819336
2017-11-09,57.968299865722656
2017-11-10,57.95112228393555
2017-11-13,57.82212829589844
2017-11-14,57.839332580566406
2017-11-15,56.96231460571289
2017-11-16,57.33203887939453
2017-11-17,57.17727279663086
2017-11-20,57.67596435546875
2017-11-21,58.28643035888672
2017-11-22,58.209041595458984
2017-11-24,58.16605758666992
2017-11-27,58.26063537597656
2017-11-28,58.77651596069336
2017-11-29,58.088680267333984
2017-11-30,59.576133728027344
2017-12-01,60.049034118652344
2017-12-04,59.9974479675293
2017-12-05,59.705108642578125
2017-12-06,59.11184310913086
2017-12-07,59.84268569946289
2017-12-08,60.49614715576172
2017-12-11,61.10660171508789
2017-12-12,60.255374908447266
2017-12-13,60.900238037109375
2017-12-14,60.65950393676758
2017-12-15,60.61650466918945
2017-12-18,61.149593353271484
2017-12-19,61.88043212890625
2017-12-20,61.46349334716797
2017-12-21,61.06391906738281
2017-12-22,60.57749938964844
2017-12-26,60.916259765625
2017-12-27,61.532981872558594
2017-12-28,60.78596115112305
2017-12-29,60.3603515625
2018-01-02,60.02157974243164
2018-01-03,59.34404754638672
2018-01-04,59.19639205932617
2018-01-05,58.99660873413086
2018-01-08,59.066097259521484
2018-01-09,60.38640594482422
2018-01-10,60.83809280395508
2018-01-11,61.35056686401367
2018-01-12,61.68933868408203
2018-01-16,63.12255096435547
2018-01-17,63.85219192504883
2018-01-18,64.04329681396484
