,LYB
2018-09-27,71.37359619140625
2018-09-28,71.18608856201172
2018-10-01,72.24856567382812
2018-10-02,73.42215728759766
2018-10-03,73.45687866210938
2018-10-04,72.16523742675781
2018-10-05,71.87358093261719
2018-10-08,72.37358093261719
2018-10-09,69.24168395996094
2018-10-10,67.79032897949219
2018-10-11,67.38059997558594
2018-10-12,67.70700073242188
2018-10-15,67.31813049316406
2018-10-16,67.79725646972656
2018-10-17,66.81813049316406
2018-10-18,65.8250961303711
2018-10-19,64.99178314208984
2018-10-22,63.845951080322266
2018-10-23,62.49877166748047
2018-10-24,60.11687088012695
2018-10-25,61.94322204589844
2018-10-26,61.96405029296875
2018-10-29,61.422401428222656
2018-10-30,61.679344177246094
2018-10-31,61.991817474365234
2018-11-01,64.25567626953125
2018-11-02,64.65150451660156
2018-11-05,64.92231750488281
2018-11-06,66.02647399902344
2018-11-07,67.25562286376953
2018-11-08,67.03339385986328
2018-11-09,66.70702362060547
2018-11-12,66.13758087158203
2018-11-13,63.93623352050781
2018-11-14,63.80430603027344
2018-11-15,64.8875961303711
2018-11-16,66.26953125
2018-11-19,64.42928314208984
2018-11-20,63.4709587097168
2018-11-21,64.15150451660156
2018-11-23,63.08208465576172
2018-11-26,63.957069396972656
2018-11-27,63.31818771362305
2018-11-28,63.90150451660156
2018-11-29,64.59595489501953
2018-11-30,64.79733276367188
2018-12-03,65.49869537353516
2018-12-04,62.89460372924805
2018-12-06,61.26961135864258
2018-12-07,59.26078414916992
2018-12-10,59.302921295166016
2018-12-11,59.576847076416016
2018-12-12,60.0123405456543
2018-12-13,58.7761344909668
2018-12-14,57.834903717041016
2018-12-17,57.72956848144531
2018-12-18,57.919227600097656
2018-12-19,56.654903411865234
2018-12-20,55.88931655883789
2018-12-21,55.495967864990234
2018-12-24,55.15178680419922
2018-12-26,57.188724517822266
2018-12-27,58.600528717041016
2018-12-28,57.86301803588867
2018-12-31,58.410888671875
2019-01-02,58.92363739013672
2019-01-03,57.77873992919922
2019-01-04,60.8973503112793
2019-01-07,61.06592559814453
2019-01-08,62.238922119140625
2019-01-09,61.8877067565918
2019-01-10,61.38901901245117
2019-01-11,60.405677795410156
2019-01-14,60.20197677612305
2019-01-15,59.408287048339844
2019-01-16,59.54876708984375
2019-01-17,60.30032730102539
2019-01-18,61.712127685546875
2019-01-22,60.265201568603516
2019-01-23,59.302921295166016
2019-01-24,58.97280502319336
2019-01-25,60.553165435791016
2019-01-28,60.503997802734375
2019-01-29,61.17130661010742
2019-01-30,61.9649772644043
2019-01-31,61.087013244628906
2019-02-01,62.43558883666992
2019-02-04,61.59272384643555
2019-02-05,61.50843048095703
2019-02-06,61.248538970947266
2019-02-07,59.41530227661133
2019-02-08,59.408287048339844
2019-02-11,58.93767166137695
2019-02-12,60.0263786315918
2019-02-13,60.440799713134766
2019-02-14,60.63042449951172
2019-02-15,61.55759048461914
2019-02-19,61.44521713256836
2019-02-20,62.62523651123047
2019-02-21,62.16166687011719
2019-02-22,62.611175537109375
2019-02-25,62.2248649597168
2019-02-26,61.00972366333008
2019-02-27,60.89033126831055
2019-02-28,60.068519592285156
2019-03-01,60.44520950317383
2019-03-04,60.480751037597656
2019-03-05,59.78425598144531
2019-03-06,63.43724822998047
2019-03-07,61.90924835205078
2019-03-08,61.930564880371094
2019-03-11,63.03926467895508
