,MCO
2017-12-13,140.9552764892578
2017-12-14,140.32638549804688
2017-12-15,141.33070373535156
2017-12-18,141.23684692382812
2017-12-19,140.93649291992188
2017-12-20,139.35960388183594
2017-12-21,138.4303741455078
2017-12-22,137.97039794921875
2017-12-26,136.91909790039062
2017-12-27,137.6324920654297
2017-12-28,138.74951171875
2017-12-29,138.55239868164062
2018-01-02,137.16317749023438
2018-01-03,139.72567749023438
2018-01-04,142.29751586914062
2018-01-05,144.6628875732422
2018-01-08,145.5546112060547
2018-01-09,146.5401611328125
2018-01-10,145.310546875
2018-01-11,146.1647186279297
2018-01-12,147.60081481933594
2018-01-16,145.9863739013672
2018-01-17,147.75100708007812
2018-01-18,147.91055297851562
2018-01-19,149.41238403320312
2018-01-22,150.62326049804688
2018-01-23,150.97055053710938
2018-01-24,152.23765563964844
2018-01-25,152.80088806152344
2018-01-26,156.96844482421875
2018-01-29,151.82470703125
2018-01-30,151.71209716796875
2018-01-31,151.8622589111328
2018-02-01,153.5330047607422
2018-02-02,148.87738037109375
2018-02-05,142.0253448486328
2018-02-06,148.24851989746094
2018-02-07,148.28602600097656
2018-02-08,142.80435180664062
2018-02-09,145.1510009765625
2018-02-12,149.5062713623047
2018-02-13,151.68392944335938
2018-02-14,153.51426696777344
2018-02-15,156.74314880371094
2018-02-16,158.305419921875
2018-02-20,158.2301483154297
2018-02-21,157.15725708007812
2018-02-22,157.32666015625
2018-02-23,159.3312530517578
2018-02-26,160.17828369140625
2018-02-27,158.45599365234375
2018-02-28,157.05372619628906
2018-03-01,156.71493530273438
2018-03-02,157.11021423339844
2018-03-05,157.6372528076172
2018-03-06,156.28201293945312
2018-03-07,156.94082641601562
2018-03-08,158.45599365234375
2018-03-09,160.03707885742188
2018-03-12,159.85826110839844
2018-03-13,159.12416076660156
2018-03-14,156.8749237060547
2018-03-15,156.67730712890625
2018-03-16,157.44898986816406
2018-03-19,155.65150451660156
2018-03-20,157.59957885742188
2018-03-21,157.3643035888672
2018-03-22,151.4352569580078
2018-03-23,149.09185791015625
2018-03-26,153.6845703125
2018-03-27,150.1459197998047
2018-03-28,149.58126831054688
2018-03-29,151.8022918701172
2018-04-02,149.3177490234375
2018-04-03,151.39764404296875
2018-04-04,152.7057647705078
2018-04-05,152.6775665283203
2018-04-06,149.6283416748047
2018-04-09,150.07066345214844
2018-04-10,153.06341552734375
2018-04-11,152.83755493164062
2018-04-12,154.29629516601562
2018-04-13,153.29867553710938
2018-04-16,154.70094299316406
2018-04-17,156.16908264160156
2018-04-18,156.6678924560547
2018-04-19,155.96205139160156
2018-04-20,154.3621826171875
2018-04-23,152.91281127929688
2018-04-24,151.01173400878906
2018-04-25,152.96926879882812
2018-04-26,154.98329162597656
2018-04-27,153.43038940429688
2018-04-30,152.6493377685547
2018-05-01,154.49388122558594
2018-05-02,153.1293182373047
2018-05-03,153.51510620117188
2018-05-04,156.51731872558594
2018-05-07,157.53372192382812
2018-05-08,158.00424194335938
2018-05-09,160.50767517089844
2018-05-10,163.5474395751953
2018-05-11,163.801513671875
2018-05-14,161.87228393554688
2018-05-15,160.82762145996094
2018-05-16,162.09815979003906
2018-05-17,161.43934631347656
2018-05-18,162.77919006347656
2018-05-21,165.2040557861328
2018-05-22,164.5153045654297
2018-05-23,164.22280883789062
2018-05-24,164.12847900390625
2018-05-25,164.20391845703125
2018-05-29,161.1657257080078
2018-05-30,163.6283416748047
2018-05-31,160.9392852783203
2018-06-01,163.1943359375
2018-06-04,165.33615112304688
2018-06-05,166.270263671875
2018-06-06,168.2422637939453
2018-06-07,167.7233428955078
2018-06-08,169.0914306640625
2018-06-11,167.77989196777344
2018-06-12,167.99693298339844
2018-06-13,166.88356018066406
2018-06-14,165.99661254882812
2018-06-15,166.81752014160156
2018-06-18,165.2701416015625
2018-06-19,163.44906616210938
2018-06-20,163.6754913330078
2018-06-21,162.69427490234375
2018-06-22,162.67539978027344
2018-06-25,160.02406311035156
2018-06-26,159.9014129638672
2018-06-27,158.9578094482422
2018-06-28,160.94873046875
2018-06-29,160.9298095703125
2018-07-02,161.3167266845703
2018-07-03,160.1750030517578
2018-07-05,161.40162658691406
2018-07-06,163.0528106689453
2018-07-09,165.5437469482422
2018-07-10,166.71371459960938
2018-07-11,167.9780731201172
2018-07-12,171.26158142089844
2018-07-13,171.68618774414062
2018-07-16,172.0258331298828
2018-07-17,172.37498474121094
2018-07-18,174.07334899902344
2018-07-19,172.0541534423828
2018-07-20,174.9508056640625
2018-07-23,175.61129760742188
2018-07-24,175.1489715576172
2018-07-25,176.4604949951172
2018-07-26,175.2338409423828
2018-07-27,166.6288604736328
2018-07-30,161.1657257080078
2018-07-31,161.4582061767578
2018-08-01,161.48651123046875
2018-08-02,162.1847381591797
2018-08-03,162.9301300048828
2018-08-06,161.88279724121094
2018-08-07,163.46795654296875
2018-08-08,162.85467529296875
2018-08-09,162.32626342773438
2018-08-10,161.33558654785156
2018-08-13,159.80706787109375
2018-08-14,161.26950073242188
2018-08-15,159.9014129638672
2018-08-16,161.88279724121094
2018-08-17,162.23280334472656
2018-08-20,161.9679412841797
2018-08-21,162.62071228027344
2018-08-22,162.53550720214844
2018-08-23,162.05308532714844
