,VLO
2017-01-06,48.01344299316406
2017-01-09,47.8045654296875
2017-01-10,47.91979217529297
2017-01-11,48.31595230102539
2017-01-12,47.91259002685547
2017-01-13,47.81895446777344
2017-01-17,47.674903869628906
2017-01-18,48.07825469970703
2017-01-19,47.58845520019531
2017-01-20,47.71091079711914
2017-01-23,47.718116760253906
2017-01-24,48.87776184082031
2017-01-25,49.2162971496582
2017-01-26,48.52482604980469
2017-01-27,48.481605529785156
2017-01-30,49.144264221191406
2017-01-31,47.36518478393555
2017-02-01,47.08428955078125
2017-02-02,47.120296478271484
2017-02-03,47.18511199951172
2017-02-06,46.89701843261719
2017-02-07,47.134708404541016
2017-02-08,48.31595230102539
2017-02-09,48.70489501953125
2017-02-10,48.59685516357422
2017-02-13,48.793373107910156
2017-02-14,49.21550750732422
2017-02-15,49.31741714477539
2017-02-16,48.4731330871582
2017-02-17,47.66523742675781
2017-02-21,48.23293685913086
2017-02-22,48.04370880126953
2017-02-23,48.78609085083008
2017-02-24,48.56045913696289
2017-02-27,48.93893814086914
2017-02-28,49.45568084716797
2017-03-01,49.84143829345703
2017-03-02,48.363948822021484
2017-03-03,48.094661712646484
2017-03-06,48.35666275024414
2017-03-07,47.75987243652344
2017-03-08,48.66963577270508
2017-03-09,48.38579559326172
2017-03-10,48.451297760009766
2017-03-13,49.2446174621582
2017-03-14,49.08449935913086
2017-03-15,50.02339172363281
2017-03-16,49.89237594604492
2017-03-17,50.14712905883789
2017-03-20,49.8778190612793
2017-03-21,48.87342834472656
2017-03-22,49.179107666015625
2017-03-23,48.83702850341797
2017-03-24,47.876304626464844
2017-03-27,48.20384216308594
2017-03-28,48.24748611450195
2017-03-29,48.866153717041016
2017-03-30,48.20384216308594
2017-03-31,48.24748611450195
2017-04-03,48.20384216308594
2017-04-04,47.89814376831055
2017-04-05,47.374107360839844
2017-04-06,47.359554290771484
2017-04-07,47.72346496582031
2017-04-10,47.56333923339844
2017-04-11,47.767127990722656
2017-04-12,47.40321350097656
2017-04-13,47.07570266723633
2017-04-17,47.446903228759766
2017-04-18,46.68995666503906
2017-04-19,46.20958709716797
2017-04-20,46.65357208251953
2017-04-21,47.47601318359375
2017-04-24,48.63323974609375
2017-04-25,47.912696838378906
2017-04-26,47.23582458496094
2017-04-27,47.54151153564453
2017-04-28,47.02475357055664
2017-05-01,46.84279251098633
2017-05-02,46.93741989135742
2017-05-03,47.23582458496094
2017-05-04,46.850074768066406
2017-05-05,47.55606460571289
2017-05-08,48.11648941040039
2017-05-09,48.494964599609375
2017-05-10,48.531341552734375
2017-05-11,48.29117202758789
2017-05-12,48.34211349487305
2017-05-15,48.217079162597656
2017-05-16,47.47413635253906
2017-05-17,46.9298095703125
2017-05-18,46.738563537597656
2017-05-19,46.981300354003906
2017-05-22,46.959228515625
2017-05-23,47.16519546508789
2017-05-24,46.93716049194336
2017-05-25,46.481101989746094
2017-05-26,45.93678283691406
2017-05-30,45.67196273803711
2017-05-31,45.215911865234375
2017-06-01,45.69404220581055
2017-06-02,45.67932891845703
2017-06-05,45.89999771118164
2017-06-06,45.81908416748047
2017-06-07,45.826446533203125
2017-06-08,46.473751068115234
2017-06-09,48.003746032714844
2017-06-12,48.489227294921875
2017-06-13,48.93792724609375
2017-06-14,47.62860870361328
2017-06-15,47.58448028564453
2017-06-16,48.40096664428711
2017-06-19,48.99677658081055
2017-06-20,48.290626525878906
2017-06-21,47.577117919921875
2017-06-22,47.68008804321289
2017-06-23,48.53337097167969
2017-06-26,48.57749557495117
2017-06-27,49.143882751464844
2017-06-28,49.6293830871582
2017-06-29,49.34984588623047
2017-06-30,49.62202835083008
2017-07-03,50.0339469909668
2017-07-05,49.335140228271484
2017-07-06,48.886444091796875
2017-07-07,50.15163803100586
2017-07-10,50.085426330566406
2017-07-11,49.967750549316406
2017-07-12,50.04130172729492
2017-07-13,49.85741424560547
2017-07-14,50.04866409301758
2017-07-17,49.599952697753906
2017-07-18,49.6588020324707
2017-07-19,50.04130172729492
2017-07-20,49.66615295410156
2017-07-21,49.85741424560547
2017-07-24,49.78384780883789
2017-07-25,50.342872619628906
2017-07-26,50.011863708496094
2017-07-27,49.7176513671875
2017-07-28,49.05561447143555
2017-07-31,50.73274230957031
2017-08-01,50.622406005859375
2017-08-02,50.387020111083984
2017-08-03,50.387020111083984
2017-08-04,50.409080505371094
2017-08-07,50.5354118347168
2017-08-08,50.379371643066406
2017-08-09,49.740238189697266
2017-08-10,49.197723388671875
2017-08-11,49.160560607910156
2017-08-14,49.63619613647461
2017-08-15,49.90373229980469
2017-08-16,49.04167175292969
2017-08-17,47.971492767333984
2017-08-18,48.12013626098633
2017-08-21,48.08295822143555
2017-08-22,48.73695755004883
2017-08-23,48.83356475830078
2017-08-24,50.11924362182617
2017-08-25,50.290184020996094
2017-08-28,50.8475456237793
2017-08-29,50.47597885131836
2017-08-30,50.840126037597656
2017-08-31,50.60974884033203
2017-09-01,51.42721939086914
2017-09-05,50.46854019165039
2017-09-06,50.61717224121094
2017-09-07,51.1745491027832
2017-09-08,51.67991256713867
2017-09-11,51.88056564331055
2017-09-12,52.177825927734375
2017-09-13,52.76493453979492
2017-09-14,51.977169036865234
2017-09-15,52.861549377441406
2017-09-18,53.65673828125
2017-09-19,54.0357551574707
2017-09-20,54.385040283203125
2017-09-21,54.5188102722168
2017-09-22,55.20995330810547
2017-09-25,55.826786041259766
2017-09-26,55.70787811279297
2017-09-27,56.08688735961914
2017-09-28,57.030696868896484
2017-09-29,57.17192459106445
2017-10-02,57.2610969543457
2017-10-03,57.64755630493164
2017-10-04,57.736724853515625
2017-10-05,57.424591064453125
2017-10-06,57.39487075805664
2017-10-09,57.32054901123047
2017-10-10,57.49891662597656
2017-10-11,57.90763473510742
2017-10-12,57.90022277832031
2017-10-13,58.02656173706055
2017-10-16,57.53606414794922
2017-10-17,57.6846923828125
2017-10-18,57.6846923828125
2017-10-19,57.69211959838867
2017-10-20,57.62526321411133
2017-10-23,57.521202087402344
2017-10-24,57.736724853515625
2017-10-25,57.729286193847656
2017-10-26,56.6963005065918
2017-10-27,57.78129577636719
2017-10-30,58.26438522338867
2017-10-31,58.628536224365234
2017-11-01,59.9810905456543
2017-11-02,60.63508224487305
2017-11-03,60.1074333190918
2017-11-06,60.53102111816406
