,KLAC
2020-05-15,158.7021026611328
2020-05-18,163.32769775390625
2020-05-19,163.52676391601562
2020-05-20,168.64527893066406
2020-05-21,163.4414520263672
2020-05-22,163.9817352294922
2020-05-26,167.4320068359375
2020-05-27,167.5172882080078
2020-05-28,165.5078125
2020-05-29,166.7874755859375
2020-06-01,166.7874755859375
2020-06-02,168.04812622070312
2020-06-03,176.3514862060547
2020-06-04,176.57896423339844
2020-06-05,182.44627380371094
2020-06-08,181.8680877685547
2020-06-09,181.0718536376953
2020-06-10,182.72117614746094
2020-06-11,171.16659545898438
2020-06-12,175.06236267089844
2020-06-15,177.9628448486328
2020-06-16,182.9296875
2020-06-17,183.78274536132812
2020-06-18,183.64060974121094
2020-06-19,183.03395080566406
2020-06-22,181.85858154296875
2020-06-23,183.13821411132812
2020-06-24,178.7874755859375
2020-06-25,182.32305908203125
2020-06-26,179.68800354003906
2020-06-29,181.73536682128906
2020-06-30,184.3419952392578
2020-07-01,183.08132934570312
2020-07-02,186.26617431640625
2020-07-06,192.97711181640625
2020-07-07,192.1240692138672
2020-07-08,193.84915161132812
2020-07-09,192.97711181640625
2020-07-10,191.71644592285156
2020-07-13,189.1667022705078
2020-07-14,190.45578002929688
2020-07-15,185.82070922851562
2020-07-16,185.82070922851562
2020-07-17,186.9202117919922
2020-07-20,192.42735290527344
2020-07-21,192.9012908935547
2020-07-22,195.20462036132812
2020-07-23,193.2899169921875
2020-07-24,178.3988800048828
2020-07-27,186.79701232910156
2020-07-28,182.43678283691406
2020-07-29,184.9581298828125
2020-07-30,187.58375549316406
2020-07-31,189.4131622314453
2020-08-03,196.82546997070312
2020-08-04,194.21885681152344
2020-08-05,193.3563232421875
2020-08-06,192.97711181640625
2020-08-07,192.27569580078125
2020-08-10,192.50318908691406
2020-08-11,190.08612060546875
2020-08-12,197.1572723388672
2020-08-13,199.01510620117188
2020-08-14,201.34735107421875
2020-08-17,206.2213592529297
2020-08-18,201.5853271484375
2020-08-19,200.42391967773438
2020-08-20,196.91127014160156
2020-08-21,194.16961669921875
2020-08-24,198.3487091064453
2020-08-25,200.17648315429688
2020-08-26,202.03274536132812
2020-08-27,194.6265411376953
2020-08-28,198.5867156982422
2020-08-31,195.28343200683594
2020-09-01,197.9584503173828
2020-09-02,205.18373107910156
2020-09-03,191.73265075683594
2020-09-04,184.07894897460938
2020-09-08,166.08706665039062
2020-09-09,166.0775604248047
2020-09-10,164.81143188476562
2020-09-11,163.6786346435547
2020-09-14,169.52359008789062
2020-09-15,172.0748291015625
2020-09-16,172.1224365234375
2020-09-17,171.81781005859375
2020-09-18,170.36134338378906
2020-09-21,172.3985137939453
2020-09-22,174.49281311035156
2020-09-23,172.1033935546875
