,GRMN
2016-08-24,40.10588073730469
2016-08-25,40.050384521484375
2016-08-26,39.79670333862305
2016-08-29,39.772918701171875
2016-08-30,39.09906005859375
2016-08-31,38.90880584716797
2016-09-01,38.73439407348633
2016-09-02,38.647193908691406
2016-09-06,38.86124038696289
2016-09-07,38.924659729003906
2016-09-08,38.78196716308594
2016-09-09,37.608673095703125
2016-09-12,37.94163131713867
2016-09-13,37.62110900878906
2016-09-14,37.460853576660156
2016-09-15,38.09387969970703
2016-09-16,37.845481872558594
2016-09-19,38.26215744018555
2016-09-20,38.10189437866211
2016-09-21,38.750946044921875
2016-09-22,39.00736999511719
2016-09-23,38.863121032714844
2016-09-26,38.69485855102539
2016-09-27,39.27180099487305
2016-09-28,39.24775314331055
2016-09-29,38.58268356323242
2016-09-30,38.550636291503906
2016-10-03,38.65480422973633
2016-10-04,38.422428131103516
2016-10-05,38.83909225463867
2016-10-06,38.77499771118164
2016-10-07,38.87114334106445
2016-10-10,38.99934005737305
2016-10-11,38.510555267333984
2016-10-12,38.66281509399414
2016-10-13,38.44645309448242
2016-10-14,38.72690963745117
2016-10-17,38.366329193115234
2016-10-18,38.97530746459961
2016-10-19,38.94326400756836
2016-10-20,38.93524932861328
2016-10-21,38.94326400756836
2016-10-24,39.16762924194336
2016-10-25,39.672447204589844
2016-10-26,39.8647575378418
2016-10-27,38.342288970947266
2016-10-28,38.35831832885742
2016-10-31,38.750946044921875
2016-11-01,39.2637825012207
2016-11-02,38.55862808227539
2016-11-03,37.96567153930664
2016-11-04,37.669189453125
2016-11-07,38.366329193115234
2016-11-08,38.59870529174805
2016-11-09,39.21570587158203
2016-11-10,39.64038848876953
2016-11-11,40.0250244140625
2016-11-14,41.86000061035156
2016-11-15,42.24462890625
2016-11-16,42.18853759765625
2016-11-17,41.67570114135742
2016-11-18,41.435306549072266
2016-11-21,41.81192398071289
2016-11-22,42.22058868408203
2016-11-23,42.09238052368164
2016-11-25,42.30070495605469
2016-11-28,42.36481857299805
2016-11-29,41.659671783447266
2016-11-30,41.795902252197266
2016-12-01,41.29908752441406
2016-12-02,41.27505111694336
2016-12-05,41.771854400634766
2016-12-06,41.28306198120117
2016-12-07,41.395240783691406
2016-12-08,41.31512451171875
2016-12-09,40.08111572265625
2016-12-12,40.19444274902344
2016-12-13,40.243019104003906
2016-12-14,39.57917785644531
2016-12-15,40.0730094909668
2016-12-16,39.6601448059082
2016-12-19,39.98395538330078
2016-12-20,40.26731491088867
2016-12-21,40.51826858520508
2016-12-22,40.833988189697266
2016-12-23,40.85829162597656
2016-12-27,41.00400924682617
2016-12-28,39.84634017944336
2016-12-29,39.67633056640625
2016-12-30,39.255367279052734
2017-01-03,39.822052001953125
2017-01-04,40.340171813964844
2017-01-05,40.064918518066406
2017-01-06,39.70062255859375
2017-01-09,38.93153762817383
2017-01-10,38.80200958251953
2017-01-11,39.06917953491211
