,PH
2017-01-10,124.7523422241211
2017-01-11,127.72534942626953
2017-01-12,126.44114685058594
2017-01-13,128.64010620117188
2017-01-17,126.3267593383789
2017-01-18,127.01287078857422
2017-01-19,126.44114685058594
2017-01-20,125.35924530029297
2017-01-23,125.34162902832031
2017-01-24,127.96284484863281
2017-01-25,131.516357421875
2017-01-26,131.14697265625
2017-01-27,131.2965087890625
2017-01-30,129.59005737304688
2017-01-31,129.4141845703125
2017-02-01,127.93646240234375
2017-02-02,131.71871948242188
2017-02-03,132.123291015625
2017-02-06,130.75112915039062
2017-02-07,130.15301513671875
2017-02-08,130.27671813964844
2017-02-09,131.9730987548828
2017-02-10,132.75059509277344
2017-02-13,134.7032470703125
2017-02-14,134.8533935546875
2017-02-15,137.3802947998047
2017-02-16,136.42608642578125
2017-02-17,135.9665985107422
2017-02-21,137.4951629638672
2017-02-22,137.70718383789062
2017-02-23,135.79873657226562
2017-02-24,136.98269653320312
2017-02-27,137.95455932617188
2017-02-28,136.80601501464844
2017-03-01,139.9867401123047
2017-03-02,138.79396057128906
2017-03-03,138.76747131347656
2017-03-06,139.53611755371094
2017-03-07,139.14739990234375
2017-03-08,139.28875732421875
2017-03-09,138.0870819091797
2017-03-10,138.99716186523438
2017-03-13,139.66867065429688
2017-03-14,138.7585906982422
2017-03-15,140.99395751953125
2017-03-16,139.8100128173828
2017-03-17,140.5698699951172
2017-03-20,139.8100128173828
2017-03-21,138.6260528564453
2017-03-22,139.20037841796875
2017-03-23,139.59796142578125
2017-03-24,138.44053649902344
2017-03-27,137.5216827392578
2017-03-28,139.97789001464844
2017-03-29,140.45501708984375
2017-03-30,141.40921020507812
2017-03-31,141.64776611328125
2017-04-03,141.02044677734375
2017-04-04,141.5859375
2017-04-05,141.19715881347656
2017-04-06,141.56822204589844
2017-04-07,142.2662811279297
2017-04-10,141.67425537109375
2017-04-11,142.08067321777344
2017-04-12,137.31842041015625
2017-04-13,135.70164489746094
2017-04-17,137.58349609375
2017-04-18,137.61886596679688
2017-04-19,136.78834533691406
2017-04-20,138.77626037597656
2017-04-21,138.10479736328125
2017-04-24,141.9040069580078
2017-04-25,145.97705078125
2017-04-26,145.37628173828125
2017-04-27,143.1144256591797
2017-04-28,142.0718536376953
2017-05-01,140.41964721679688
2017-05-02,140.8260498046875
2017-05-03,141.05575561523438
2017-05-04,141.17945861816406
2017-05-05,140.65818786621094
2017-05-08,141.3236083984375
2017-05-09,141.28810119628906
2017-05-10,141.2171630859375
2017-05-11,141.0928955078125
