,IEX
2018-03-08,131.80636596679688
2018-03-09,136.06983947753906
2018-03-12,135.37770080566406
2018-03-13,135.00857543945312
2018-03-14,135.5530548095703
2018-03-15,135.562255859375
2018-03-16,136.31893920898438
2018-03-19,135.8944549560547
2018-03-20,138.7644500732422
2018-03-21,138.09996032714844
2018-03-22,133.54129028320312
2018-03-23,131.76022338867188
2018-03-26,134.08575439453125
2018-03-27,130.5882568359375
2018-03-28,129.6746368408203
2018-03-29,131.51107788085938
2018-04-02,128.6410675048828
2018-04-03,130.30215454101562
2018-04-04,131.64950561523438
2018-04-05,131.62184143066406
2018-04-06,128.0597381591797
2018-04-09,128.49346923828125
2018-04-10,130.47750854492188
2018-04-11,130.1730194091797
2018-04-12,131.2249755859375
2018-04-13,130.9850616455078
2018-04-16,131.4926300048828
