,FCX
2018-12-14,9.82624626159668
2018-12-17,9.84483814239502
2018-12-18,9.85413646697998
2018-12-19,9.463690757751465
2018-12-20,9.5194673538208
2018-12-21,9.3428373336792
2018-12-24,9.09183406829834
2018-12-26,9.668209075927734
2018-12-27,9.919209480285645
2018-12-28,9.733285903930664
2018-12-31,9.584542274475098
2019-01-02,9.631022453308105
2019-01-03,9.361429214477539
2019-01-04,10.058653831481934
2019-01-07,10.22598934173584
2019-01-08,10.411918640136719
2019-01-09,10.700103759765625
2019-01-10,10.700103759765625
2019-01-11,10.783771514892578
2019-01-14,10.783772468566895
2019-01-15,10.802445411682129
2019-01-16,11.101217269897461
2019-01-17,11.32529354095459
2019-01-18,11.72676944732666
2019-01-22,11.558710098266602
2019-01-23,11.493352890014648
2019-01-24,9.990159034729004
2019-01-25,10.494336128234863
2019-01-28,9.598023414611816
2019-01-29,9.756745338439941
2019-01-30,10.522345542907715
2019-01-31,10.86780071258545
2019-02-01,10.74642562866211
2019-02-04,11.07320499420166
2019-02-05,11.082542419433594
2019-02-06,11.119889259338379
2019-02-07,11.07320499420166
2019-02-08,10.83979320526123
2019-02-11,10.765097618103027
2019-02-12,10.727751731872559
2019-02-13,11.474678993225098
2019-02-14,11.353303909301758
2019-02-15,11.465341567993164
2019-02-19,12.22160816192627
2019-02-20,12.464361190795898
2019-02-21,12.156251907348633
2019-02-22,12.342982292175293
2019-02-25,12.380330085754395
2019-02-26,12.305638313293457
2019-02-27,12.286966323852539
2019-02-28,12.04421329498291
2019-03-01,12.016201972961426
2019-03-04,11.932174682617188
2019-03-05,11.98819351196289
2019-03-06,11.708096504211426
2019-03-07,11.493352890014648
2019-03-08,11.287944793701172
2019-03-11,11.540037155151367
2019-03-12,11.810798645019531
2019-03-13,11.820134162902832
2019-03-14,11.502691268920898
2019-03-15,11.5306978225708
2019-03-18,11.782787322998047
2019-03-19,11.83880615234375
2019-03-20,11.969521522521973
2019-03-21,12.062888145446777
2019-03-22,11.371976852416992
2019-03-25,11.558710098266602
2019-03-26,11.857479095458984
2019-03-27,11.86681842803955
2019-03-28,11.885488510131836
2019-03-29,12.03487777709961
2019-04-01,12.230945587158203
2019-04-02,12.249616622924805
2019-04-03,12.286966323852539
2019-04-04,12.660426139831543
2019-04-05,12.445686340332031
2019-04-08,12.828485488891602
2019-04-09,12.492368698120117
2019-04-10,12.595074653625488
2019-04-11,12.520379066467285
2019-04-12,12.839010238647461
2019-04-15,12.829641342163086
2019-04-16,13.270098686218262
2019-04-17,13.307588577270508
2019-04-18,13.120158195495605
2019-04-22,12.792154312133789
2019-04-23,12.614095687866211
2019-04-24,12.72655200958252
2019-04-25,11.44265079498291
2019-04-26,11.71442699432373
2019-04-29,11.648828506469727
2019-04-30,11.53636646270752
2019-05-01,10.974074363708496
2019-05-02,10.786643981933594
2019-05-03,11.198990821838379
2019-05-06,10.983447074890137
2019-05-07,10.721040725708008
2019-05-08,10.65544319152832
2019-05-09,10.571099281311035
2019-05-10,10.65544319152832
2019-05-13,10.036922454833984
2019-05-14,10.177494049072266
2019-05-15,10.168122291564941
2019-05-16,9.990063667297363
2019-05-17,9.718290328979492
2019-05-20,9.558974266052246
2019-05-21,9.699545860290527
2019-05-22,9.427770614624023
2019-05-23,9.32468318939209
2019-05-24,9.446512222290039
2019-05-28,9.399656295776367
2019-05-29,9.362170219421387
2019-05-30,9.20285415649414
2019-05-31,9.099766731262207
