,EA
2016-03-21,62.466129302978516
2016-03-22,62.397743225097656
2016-03-23,63.5505485534668
2016-03-24,62.75921630859375
2016-03-28,63.149993896484375
2016-03-29,64.50796508789062
2016-03-30,64.87920379638672
2016-03-31,64.58612060546875
2016-04-01,64.4004898071289
2016-04-04,64.2246322631836
2016-04-05,63.94133377075195
2016-04-06,64.31257629394531
2016-04-07,62.45636749267578
2016-04-08,62.75921630859375
2016-04-11,61.7041130065918
2016-04-12,61.50872039794922
2016-04-13,63.27698516845703
2016-04-14,63.44308853149414
2016-04-15,65.29928588867188
2016-04-18,64.98666381835938
2016-04-19,64.66427612304688
2016-04-20,64.28327178955078
2016-04-21,64.65451049804688
2016-04-22,64.35165405273438
2016-04-25,64.41027069091797
2016-04-26,63.82408905029297
2016-04-27,61.88972854614258
2016-04-28,60.88347625732422
2016-04-29,60.42430877685547
2016-05-02,61.44034194946289
2016-05-03,60.64900588989258
2016-05-04,60.45362091064453
2016-05-05,60.805335998535156
2016-05-06,62.466129302978516
2016-05-09,63.03276824951172
2016-05-10,63.05229949951172
2016-05-11,71.68852233886719
2016-05-12,73.28095245361328
2016-05-13,73.46658325195312
2016-05-16,74.8538589477539
2016-05-17,73.40796661376953
2016-05-18,72.77294921875
2016-05-19,71.80575561523438
2016-05-20,71.42475128173828
2016-05-23,71.55175018310547
2016-05-24,73.61312103271484
2016-05-25,73.21258544921875
2016-05-26,73.37866973876953
2016-05-27,73.95504760742188
2016-05-31,74.98085021972656
2016-06-01,74.8538589477539
2016-06-02,74.8147964477539
2016-06-03,74.59986114501953
2016-06-06,74.72685241699219
2016-06-07,75.46932983398438
2016-06-08,74.52169799804688
2016-06-09,74.49237823486328
2016-06-10,73.54473876953125
2016-06-13,72.52872467041016
2016-06-14,72.8022689819336
2016-06-15,72.67526245117188
2016-06-16,73.27118682861328
2016-06-17,72.8022689819336
2016-06-20,73.57405090332031
2016-06-21,73.76944732666016
2016-06-22,73.07581329345703
2016-06-23,74.29698944091797
2016-06-24,71.52244567871094
2016-06-27,69.85186004638672
2016-06-28,70.92652130126953
2016-06-29,72.04023742675781
2016-06-30,74.013671875
2016-07-01,74.12112426757812
2016-07-05,74.14069366455078
2016-07-06,74.9710922241211
2016-07-07,74.8538589477539
2016-07-08,76.4560546875
2016-07-11,77.3450698852539
2016-07-12,77.67723083496094
2016-07-13,75.83079528808594
2016-07-14,76.25088500976562
2016-07-15,76.03595733642578
2016-07-18,76.4560546875
2016-07-19,74.73661804199219
2016-07-20,74.93199920654297
2016-07-21,73.6424331665039
2016-07-22,74.5705337524414
2016-07-25,75.12738800048828
2016-07-26,75.06877899169922
2016-07-27,74.9026870727539
2016-07-28,74.52169799804688
2016-07-29,74.560791015625
2016-08-01,74.86361694335938
2016-08-02,75.0101547241211
2016-08-03,76.81749725341797
2016-08-04,76.4267349243164
2016-08-05,77.9996337890625
2016-08-08,77.4427490234375
2016-08-09,76.87615203857422
2016-08-10,76.75892639160156
2016-08-11,76.05550384521484
2016-08-12,75.64517974853516
