,HII
2018-04-24,222.5142364501953
2018-04-25,219.6608123779297
2018-04-26,218.79090881347656
2018-04-27,213.80613708496094
2018-04-30,211.57907104492188
2018-05-01,204.19322204589844
2018-05-02,201.61817932128906
2018-05-03,180.36544799804688
2018-05-04,183.26239013671875
2018-05-07,187.7687225341797
2018-05-08,192.9622802734375
2018-05-09,192.7273712158203
2018-05-10,193.4755401611328
2018-05-11,191.5355682373047
2018-05-14,190.03924560546875
2018-05-15,189.9261474609375
2018-05-16,191.9009246826172
2018-05-17,192.15322875976562
2018-05-18,192.84046936035156
2018-05-21,193.77999877929688
2018-05-22,192.03146362304688
2018-05-23,193.52774047851562
2018-05-24,198.54615783691406
2018-05-25,196.13729858398438
2018-05-29,191.52032470703125
2018-05-30,194.35684204101562
2018-05-31,192.94296264648438
2018-06-01,194.8543701171875
2018-06-04,195.74453735351562
2018-06-05,194.3743133544922
2018-06-06,196.53004455566406
2018-06-07,194.23468017578125
2018-06-08,197.55120849609375
2018-06-11,197.0799102783203
2018-06-12,193.57138061523438
2018-06-13,192.5851287841797
2018-06-14,191.96546936035156
2018-06-15,192.46295166015625
2018-06-18,193.53646850585938
2018-06-19,187.2350616455078
2018-06-20,186.69393920898438
2018-06-21,184.75637817382812
2018-06-22,185.86480712890625
2018-06-25,186.78997802734375
2018-06-26,186.8510284423828
2018-06-27,185.6029815673828
2018-06-28,188.34349060058594
2018-06-29,189.20751953125
2018-07-02,189.68751525878906
2018-07-03,189.19882202148438
2018-07-05,189.87957763671875
2018-07-06,189.94935607910156
2018-07-09,194.53140258789062
2018-07-10,195.0637969970703
2018-07-11,193.65863037109375
2018-07-12,194.52268981933594
2018-07-13,196.35546875
2018-07-16,198.07485961914062
2018-07-17,198.6421356201172
2018-07-18,199.5498809814453
2018-07-19,198.4588623046875
2018-07-20,198.40650939941406
2018-07-23,197.9264678955078
2018-07-24,198.1010284423828
2018-07-25,198.42398071289062
2018-07-26,201.7666473388672
2018-07-27,202.2467041015625
2018-07-30,198.9825439453125
2018-07-31,203.39871215820312
2018-08-01,200.2916717529297
2018-08-02,210.1277618408203
2018-08-03,205.93850708007812
2018-08-06,203.84385681152344
2018-08-07,203.96604919433594
2018-08-08,204.9435577392578
2018-08-09,206.5407257080078
2018-08-10,207.58804321289062
2018-08-13,209.93576049804688
2018-08-14,212.3446044921875
2018-08-15,210.10159301757812
2018-08-16,213.330810546875
2018-08-17,215.80950927734375
2018-08-20,216.97901916503906
2018-08-21,221.2294464111328
2018-08-22,218.98638916015625
2018-08-23,215.61752319335938
2018-08-24,216.10623168945312
2018-08-27,218.7332763671875
2018-08-28,216.7782745361328
2018-08-29,215.4429473876953
2018-08-30,210.93505859375
2018-08-31,213.98988342285156
2018-09-04,213.0007781982422
2018-09-05,214.0774688720703
2018-09-06,217.193603515625
2018-09-07,215.0665283203125
2018-09-10,216.92230224609375
2018-09-11,213.36842346191406
2018-09-12,215.16281127929688
2018-09-13,217.90260314941406
2018-09-14,221.36886596679688
2018-09-17,225.38661193847656
2018-09-18,225.8330078125
2018-09-19,220.6073455810547
2018-09-20,218.87425231933594
2018-09-21,223.82855224609375
2018-09-24,222.30545043945312
2018-09-25,223.91603088378906
2018-09-26,223.41712951660156
2018-09-27,224.07362365722656
2018-09-28,224.15240478515625
2018-10-01,225.2903289794922
2018-10-02,224.13487243652344
2018-10-03,226.5245361328125
2018-10-04,226.2969512939453
2018-10-05,228.70404052734375
2018-10-08,228.58157348632812
2018-10-09,226.53330993652344
2018-10-10,217.00103759765625
2018-10-11,204.02000427246094
2018-10-12,198.04153442382812
2018-10-15,204.83409118652344
2018-10-16,205.95445251464844
