,SWK
2018-08-16,118.6047592163086
2018-08-17,119.62001037597656
2018-08-20,120.42372131347656
2018-08-21,122.67418670654297
2018-08-22,120.1699447631836
2018-08-23,118.10562133789062
2018-08-24,119.26467895507812
2018-08-27,122.11580657958984
2018-08-28,122.75879669189453
2018-08-29,122.16654205322266
2018-08-30,119.32388305664062
2018-08-31,118.8924331665039
2018-09-04,118.46098327636719
2018-09-05,120.43220520019531
2018-09-06,119.77774047851562
2018-09-07,118.31580352783203
2018-09-10,120.98466491699219
2018-09-11,120.55968475341797
2018-09-12,123.97660827636719
2018-09-13,125.25154113769531
2018-09-14,126.08451080322266
2018-09-17,126.80699157714844
2018-09-18,128.14146423339844
2018-09-19,129.02540588378906
2018-09-20,130.75082397460938
2018-09-21,131.2012939453125
2018-09-24,128.7619171142578
2018-09-25,126.78997802734375
2018-09-26,126.58601379394531
2018-09-27,125.33653259277344
2018-09-28,124.46957397460938
2018-10-01,125.17505645751953
2018-10-02,125.37897491455078
2018-10-03,124.73304748535156
2018-10-04,123.4920883178711
2018-10-05,121.30769348144531
2018-10-08,120.01569366455078
2018-10-09,114.47394561767578
2018-10-10,110.6915512084961
2018-10-11,111.27802276611328
2018-10-12,110.30056762695312
2018-10-15,108.67713165283203
2018-10-16,108.88114166259766
2018-10-17,105.03075408935547
2018-10-18,102.37885284423828
2018-10-19,100.38143920898438
2018-10-22,100.14341735839844
2018-10-23,99.51446533203125
2018-10-24,96.11457824707031
2018-10-25,97.62753295898438
2018-10-26,93.67516326904297
2018-10-29,92.17920684814453
2018-10-30,96.20806884765625
2018-10-31,99.0384521484375
2018-11-01,104.95426940917969
2018-11-02,105.6002426147461
2018-11-05,105.20923614501953
2018-11-06,106.82418823242188
2018-11-07,109.38260650634766
2018-11-08,109.16162109375
2018-11-09,106.87518310546875
2018-11-12,103.67082214355469
2018-11-13,106.18671417236328
2018-11-14,106.23770904541016
2018-11-15,109.51010131835938
2018-11-16,110.65755462646484
2018-11-19,107.83564758300781
2018-11-20,105.59175109863281
2018-11-21,106.79019927978516
2018-11-23,107.04519653320312
2018-11-26,109.1530990600586
2018-11-27,106.98567962646484
2018-11-28,108.72811126708984
2018-11-29,108.89900970458984
2018-11-30,111.79534912109375
2018-12-03,116.21249389648438
2018-12-04,107.95065307617188
2018-12-06,108.09589385986328
2018-12-07,104.73818969726562
2018-12-10,104.11449432373047
2018-12-11,102.3630142211914
2018-12-12,102.38008880615234
2018-12-13,100.73114776611328
2018-12-14,101.12416076660156
2018-12-17,102.50825500488281
2018-12-18,102.7901840209961
2018-12-19,100.33812713623047
2018-12-20,98.76607513427734
2018-12-21,97.13423919677734
2018-12-24,95.0495376586914
2018-12-26,99.94511413574219
2018-12-27,102.66205596923828
2018-12-28,101.52571105957031
2018-12-31,102.3031997680664
2019-01-02,103.1490478515625
2019-01-03,100.14163208007812
2019-01-04,105.21663665771484
2019-01-07,107.43800354003906
2019-01-08,109.42017364501953
2019-01-09,111.96623229980469
2019-01-10,112.80351257324219
2019-01-11,113.3844985961914
2019-01-14,111.82950592041016
2019-01-15,110.20620727539062
2019-01-16,110.75300598144531
2019-01-17,113.333251953125
2019-01-18,116.94725036621094
2019-01-22,98.84297943115234
2019-01-23,101.2864990234375
2019-01-24,101.0216293334961
2019-01-25,103.02088165283203
2019-01-28,103.55914306640625
2019-01-29,105.37042236328125
2019-01-30,106.35295867919922
2019-01-31,108.02755737304688
2019-02-01,109.18093872070312
2019-02-04,110.03531646728516
2019-02-05,111.2912826538086
2019-02-06,111.26563262939453
2019-02-07,109.40308380126953
2019-02-08,108.35220336914062
2019-02-11,109.65086364746094
2019-02-12,113.04273986816406
2019-02-13,114.72584533691406
2019-02-14,113.70059967041016
2019-02-15,116.52860260009766
2019-02-19,116.67382049560547
2019-02-20,116.8959732055664
2019-02-21,117.5111083984375
2019-02-22,118.69017028808594
2019-02-25,117.38296508789062
2019-02-26,116.10993957519531
2019-02-27,116.5884017944336
2019-02-28,113.14525604248047
2019-03-01,113.31612396240234
2019-03-04,115.87491607666016
2019-03-05,115.19660949707031
2019-03-06,114.73290252685547
2019-03-07,112.68932342529297
2019-03-08,110.98918914794922
2019-03-11,113.81414794921875
2019-03-12,113.85710144042969
2019-03-13,114.68997955322266
2019-03-14,113.3247299194336
2019-03-15,112.92115020751953
2019-03-18,115.22237396240234
2019-03-19,114.47530364990234
2019-03-20,113.21309661865234
2019-03-21,115.57440948486328
2019-03-22,112.39737701416016
