,TAP
2020-03-13,38.42109298706055
2020-03-16,37.78014373779297
2020-03-17,39.712039947509766
2020-03-18,36.516292572021484
2020-03-19,34.76495361328125
2020-03-20,33.347633361816406
2020-03-23,31.199085235595703
2020-03-24,33.82609558105469
2020-03-25,33.88928985595703
2020-03-26,34.864261627197266
2020-03-27,34.35871124267578
2020-03-30,36.38087463378906
2020-03-31,35.216331481933594
2020-04-01,34.16914749145508
2020-04-02,36.11006164550781
2020-04-03,37.02183151245117
2020-04-06,38.72803497314453
2020-04-07,39.29676055908203
2020-04-08,41.18351364135742
2020-04-09,42.7904167175293
2020-04-13,40.64186477661133
2020-04-14,42.0411376953125
2020-04-15,40.26271438598633
2020-04-16,38.971778869628906
2020-04-17,40.06410598754883
2020-04-20,39.260658264160156
2020-04-21,38.005828857421875
2020-04-22,38.005828857421875
2020-04-23,37.79821014404297
2020-04-24,38.84539031982422
2020-04-27,40.253684997558594
2020-04-28,41.02103042602539
2020-04-29,41.68002700805664
2020-04-30,37.02183151245117
2020-05-01,35.13507843017578
2020-05-04,34.47607421875
2020-05-05,33.79901123046875
2020-05-06,34.01566696166992
2020-05-07,33.94344711303711
2020-05-08,35.108001708984375
2020-05-11,34.79204177856445
2020-05-12,34.024696350097656
2020-05-13,32.697654724121094
2020-05-14,32.7608528137207
2020-05-15,32.81501007080078
2020-05-18,34.801063537597656
2020-05-19,34.151092529296875
2020-05-20,34.20525360107422
2020-05-21,33.21221923828125
2020-05-22,33.24833297729492
2020-05-26,33.158058166503906
2020-05-27,35.87533950805664
2020-05-28,34.620513916015625
2020-05-29,34.2684440612793
2020-06-01,34.277469635009766
2020-06-02,35.49618911743164
2020-06-03,36.5975456237793
2020-06-04,38.19541549682617
2020-06-05,38.27665710449219
2020-06-08,39.152320861816406
2020-06-09,37.68987274169922
2020-06-10,35.6586799621582
2020-06-11,32.995567321777344
2020-06-12,34.34968948364258
2020-06-15,34.53926467895508
2020-06-16,35.92950439453125
2020-06-17,34.99966812133789
