,BALL
2022-09-22,47.73407745361328
2022-09-23,47.64681625366211
2022-09-26,46.842037200927734
2022-09-27,46.04695510864258
2022-09-28,47.73407745361328
2022-09-29,46.202091217041016
2022-09-30,46.85173034667969
2022-10-03,47.86982727050781
2022-10-04,49.02366638183594
2022-10-05,49.392120361328125
2022-10-06,48.42250442504883
2022-10-07,47.045658111572266
2022-10-10,47.83103942871094
2022-10-11,46.99717330932617
2022-10-12,47.4528923034668
2022-10-13,47.4528923034668
2022-10-14,46.01786422729492
2022-10-17,47.714683532714844
2022-10-18,48.60673522949219
2022-10-19,47.4528923034668
2022-10-20,47.03595733642578
2022-10-21,47.70499038696289
2022-10-24,47.88921356201172
2022-10-25,46.94868850708008
2022-10-26,46.72567367553711
2022-10-27,46.318443298339844
2022-10-28,48.092838287353516
2022-10-31,47.88921356201172
2022-11-01,47.95708465576172
2022-11-02,46.39601516723633
2022-11-03,49.47937774658203
2022-11-04,49.30485153198242
2022-11-07,49.45998764038086
2022-11-08,49.0042724609375
2022-11-09,48.04435729980469
2022-11-10,51.874332427978516
2022-11-11,55.08375549316406
2022-11-14,53.85234069824219
2022-11-15,53.80385971069336
2022-11-16,53.076656341552734
2022-11-17,52.71788787841797
2022-11-18,53.416015625
2022-11-21,53.51297378540039
2022-11-22,53.71660232543945
2022-11-23,54.41471862792969
2022-11-25,54.46319580078125
2022-11-28,53.50327682495117
2022-11-29,53.076656341552734
2022-11-30,54.57533645629883
2022-12-01,54.35150146484375
2022-12-02,54.31257629394531
2022-12-05,52.89175033569336
2022-12-06,53.32966995239258
2022-12-07,51.08164978027344
2022-12-08,52.444087982177734
2022-12-09,52.122947692871094
2022-12-12,52.161865234375
2022-12-13,52.37596893310547
2022-12-14,52.99879837036133
2022-12-15,50.26419448852539
2022-12-16,49.94304656982422
2022-12-19,49.25209426879883
2022-12-20,49.27156066894531
2022-12-21,50.35177993774414
2022-12-22,49.77760696411133
2022-12-23,50.244728088378906
2022-12-27,50.40044021606445
2022-12-28,49.222904205322266
2022-12-29,50.23499298095703
2022-12-30,49.76787185668945
2023-01-03,50.57560729980469
2023-01-04,51.08164978027344
2023-01-05,51.42226028442383
2023-01-06,52.804161071777344
2023-01-09,54.079017639160156
2023-01-10,54.585060119628906
2023-01-11,54.89647674560547
2023-01-12,55.61662673950195
2023-01-13,55.58742904663086
2023-01-17,55.43171691894531
2023-01-18,55.28574752807617
2023-01-19,55.110572814941406
2023-01-20,56.66764450073242
2023-01-23,57.43645095825195
2023-01-24,55.51930236816406
2023-01-25,55.120304107666016
2023-01-26,55.499839782714844
2023-01-27,56.083740234375
2023-01-30,55.898841857910156
2023-01-31,56.67737579345703
2023-02-01,56.872005462646484
2023-02-02,59.25627136230469
2023-02-03,57.38779830932617
2023-02-06,57.11530685424805
2023-02-07,56.05455017089844
2023-02-08,54.38069534301758
2023-02-09,53.55350112915039
2023-02-10,53.144779205322266
2023-02-13,54.41962432861328
2023-02-14,55.40252685546875
2023-02-15,57.39752197265625
2023-02-16,55.850181579589844
2023-02-17,55.99615478515625
2023-02-21,55.51930236816406
2023-02-22,56.005889892578125
2023-02-23,55.96696090698242
2023-02-24,55.324668884277344
2023-02-27,54.59479904174805
2023-02-28,54.897560119628906
2023-03-01,53.38374710083008
2023-03-02,54.69245910644531
2023-03-03,55.73747634887695
2023-03-06,54.77059555053711
2023-03-07,53.54978561401367
2023-03-08,54.21390151977539
2023-03-09,53.413047790527344
2023-03-10,51.31324768066406
2023-03-13,51.196048736572266
2023-03-14,51.742977142333984
2023-03-15,50.88351821899414
2023-03-16,50.90305709838867
2023-03-17,50.277992248535156
2023-03-20,50.53192901611328
2023-03-21,51.44021224975586
2023-03-22,51.44021224975586
2023-03-23,51.30348205566406
2023-03-24,51.733211517333984
2023-03-27,51.420684814453125
2023-03-28,52.055503845214844
2023-03-29,52.64149475097656
2023-03-30,53.01262283325195
2023-03-31,53.823238372802734
2023-04-03,53.7939453125
2023-04-04,52.98332214355469
2023-04-05,51.93830490112305
2023-04-06,51.40114974975586
2023-04-10,50.82492446899414
2023-04-11,51.166748046875
2023-04-12,49.56504440307617
2023-04-13,50.56122589111328
2023-04-14,48.861854553222656
2023-04-17,50.01430130004883
2023-04-18,50.71748733520508
2023-04-19,51.00072479248047
2023-04-20,50.40496063232422
2023-04-21,50.87375259399414
2023-04-24,51.05931854248047
2023-04-25,50.53192901611328
2023-04-26,50.043601989746094
2023-04-27,51.47927474975586
2023-04-28,51.93830490112305
2023-05-01,52.37779998779297
