,META
2023-01-25,140.96151733398438
2023-01-26,146.7394561767578
2023-01-27,151.16256713867188
2023-01-30,146.50038146972656
2023-01-31,148.40310668945312
2023-02-01,152.5373077392578
2023-02-02,188.05166625976562
2023-02-03,185.82017517089844
2023-02-06,185.3519744873047
2023-02-07,190.89080810546875
2023-02-08,182.73196411132812
2023-02-09,177.24295043945312
2023-02-10,173.48727416992188
2023-02-13,178.74720764160156
2023-02-14,178.7969970703125
2023-02-15,176.48582458496094
2023-02-16,171.78379821777344
2023-02-17,172.22213745117188
2023-02-21,171.4251708984375
2023-02-22,170.4688262939453
2023-02-23,171.38531494140625
2023-02-24,169.74160766601562
2023-02-27,168.89483642578125
2023-02-28,174.2742919921875
2023-03-01,172.76007080078125
2023-03-02,173.8658447265625
2023-03-03,184.54502868652344
2023-03-06,184.19638061523438
2023-03-07,183.807861328125
2023-03-08,184.26611328125
2023-03-09,180.99859619140625
2023-03-10,178.826904296875
2023-03-13,180.2115936279297
2023-03-14,193.28167724609375
2023-03-15,196.99746704101562
2023-03-16,204.150146484375
2023-03-17,194.86563110351562
2023-03-20,197.0572509765625
2023-03-21,201.3907012939453
2023-03-22,199.04965209960938
2023-03-23,203.5026397705078
2023-03-24,205.2260284423828
2023-03-27,202.068115234375
2023-03-28,199.9163360595703
2023-03-29,204.5685577392578
2023-03-30,207.04908752441406
2023-03-31,211.13348388671875
2023-04-03,212.25918579101562
2023-04-04,213.90289306640625
2023-04-05,210.67523193359375
2023-04-06,215.27764892578125
2023-04-10,213.9327850341797
2023-04-11,213.03622436523438
2023-04-12,213.18563842773438
2023-04-13,219.511474609375
2023-04-14,220.6471405029297
2023-04-17,218.0271453857422
2023-04-18,217.06085205078125
2023-04-19,214.87916564941406
2023-04-20,212.25918579101562
2023-04-21,212.07986450195312
2023-04-24,211.98023986816406
2023-04-25,206.76019287109375
2023-04-26,208.60316467285156
2023-04-27,237.6521759033203
2023-04-28,239.40548706054688
2023-05-01,242.2545928955078
2023-05-02,238.32960510253906
2023-05-03,236.12802124023438
2023-05-04,232.63136291503906
2023-05-05,231.89418029785156
2023-05-08,232.38232421875
2023-05-09,232.48193359375
2023-05-10,232.1930389404297
2023-05-11,234.89273071289062
2023-05-12,232.9202423095703
2023-05-15,237.95103454589844
2023-05-16,237.91119384765625
2023-05-17,241.56723022460938
2023-05-18,245.91064453125
2023-05-19,244.7052459716797
2023-05-22,247.3750457763672
2023-05-23,245.80105590820312
2023-05-24,248.2616729736328
2023-05-25,251.72840881347656
2023-05-26,261.0428161621094
2023-05-30,261.5210266113281
2023-05-31,263.7126159667969
2023-06-01,271.57257080078125
2023-06-02,271.57257080078125
2023-06-05,270.35723876953125
2023-06-06,270.0882873535156
2023-06-07,262.5968933105469
2023-06-08,263.5731506347656
2023-06-09,263.9417724609375
2023-06-12,270.0185241699219
2023-06-13,270.28753662109375
2023-06-14,272.30975341796875
2023-06-15,280.75750732421875
2023-06-16,279.9306945800781
2023-06-20,283.24798583984375
2023-06-21,280.56829833984375
2023-06-22,283.7958984375
2023-06-23,287.6312561035156
2023-06-26,277.4103088378906
2023-06-27,285.9576721191406
2023-06-28,284.2043762207031
2023-06-29,280.4586486816406
2023-06-30,285.887939453125
2023-07-03,284.9315490722656
2023-07-05,293.2497863769531
2023-07-06,290.8788757324219
2023-07-07,289.4244079589844
2023-07-10,292.9808349609375
2023-07-11,297.1548767089844
2023-07-12,308.1628112792969
2023-07-13,312.21734619140625
2023-07-14,307.6946105957031
2023-07-17,309.4379577636719
2023-07-18,310.86248779296875
2023-07-19,314.8074645996094
2023-07-20,301.3687438964844
2023-07-21,293.1402282714844
2023-07-24,290.50030517578125
2023-07-25,293.3493957519531
2023-07-26,297.4338073730469
2023-07-27,310.5237731933594
2023-07-28,324.241455078125
2023-07-31,317.38763427734375
2023-08-01,321.48193359375
2023-08-02,313.1139221191406
2023-08-03,311.9981689453125
2023-08-04,309.54754638671875
2023-08-07,315.3553771972656
2023-08-08,311.4502868652344
2023-08-09,304.0485534667969
2023-08-10,304.5765686035156
2023-08-11,300.4921875
2023-08-14,305.02484130859375
2023-08-15,300.80096435546875
2023-08-16,293.17010498046875
2023-08-17,284.005126953125
2023-08-18,282.172119140625
2023-08-21,288.7968444824219
2023-08-22,286.5055847167969
2023-08-23,293.1202697753906
2023-08-24,285.6588134765625
2023-08-25,284.4135437011719
2023-08-28,289.15545654296875
2023-08-29,296.85601806640625
2023-08-30,293.97705078125
2023-08-31,294.7640380859375
2023-09-01,295.2521667480469
2023-09-05,299.0078125
2023-09-06,298.0315856933594
2023-09-07,297.533447265625
2023-09-08,296.75640869140625
2023-09-11,306.3896179199219
2023-09-12,300.5120544433594
2023-09-13,303.8991394042969
2023-09-14,310.5337829589844
2023-09-15,299.1672058105469
2023-09-18,301.3986511230469
2023-09-19,303.90911865234375
2023-09-20,298.5296325683594
2023-09-21,294.6046447753906
2023-09-22,297.9418640136719
2023-09-25,299.6852111816406
2023-09-26,297.82232666015625
2023-09-27,296.60693359375
2023-09-28,302.80328369140625
2023-09-29,299.06756591796875
2023-10-02,305.6524353027344
2023-10-03,299.7947998046875
2023-10-04,304.4171447753906
2023-10-05,303.63018798828125
2023-10-06,314.2296447753906
2023-10-09,317.1484680175781
2023-10-10,320.6152648925781
2023-10-11,326.5725402832031
2023-10-12,322.92645263671875
2023-10-13,313.49249267578125
2023-10-16,319.9278869628906
2023-10-17,322.7670593261719
2023-10-18,315.7637939453125
2023-10-19,311.61962890625
2023-10-20,307.4754333496094
2023-10-23,312.8150939941406
2023-10-24,311.360595703125
2023-10-25,298.39013671875
2023-10-26,287.252685546875
2023-10-27,295.600830078125
2023-10-30,301.5082702636719
2023-10-31,300.12353515625
2023-11-01,310.6632995605469
2023-11-02,309.68701171875
2023-11-03,313.4028015136719
2023-11-06,314.5982666015625
2023-11-07,317.6067810058594
2023-11-08,318.5631103515625
2023-11-09,319.3301696777344
2023-11-10,327.5188903808594
2023-11-13,327.9372863769531
2023-11-14,335.03021240234375
2023-11-15,331.4438781738281
2023-11-16,332.9182434082031
2023-11-17,333.7650451660156
2023-11-20,338.6763000488281
2023-11-21,335.69769287109375
2023-11-22,340.1904602050781
2023-11-24,336.9429016113281
2023-11-27,333.42633056640625
2023-11-28,337.6999816894531
2023-11-29,330.9358825683594
2023-11-30,325.9050598144531
2023-12-01,323.58392333984375
2023-12-04,318.8022155761719
2023-12-05,317.07879638671875
2023-12-06,316.2419738769531
