,GS
2018-09-14,197.93568420410156
2018-09-17,196.77000427246094
2018-09-18,197.63343811035156
2018-09-19,203.40989685058594
2018-09-20,204.98138427734375
2018-09-21,203.2026824951172
2018-09-24,201.0958709716797
2018-09-25,200.75050354003906
2018-09-26,197.6248321533203
2018-09-27,196.6405029296875
2018-09-28,193.61846923828125
2018-10-01,194.5596160888672
2018-10-02,195.1985626220703
2018-10-03,196.67503356933594
2018-10-04,196.4159698486328
2018-10-05,194.88772583007812
2018-10-08,194.57687377929688
2018-10-09,192.47012329101562
2018-10-10,185.54530334472656
2018-10-11,183.88748168945312
2018-10-12,184.66453552246094
2018-10-15,185.83018493652344
2018-10-16,191.42532348632812
2018-10-17,197.1068115234375
2018-10-18,194.2314910888672
2018-10-19,195.96707153320312
2018-10-22,191.3389892578125
2018-10-23,188.7140655517578
2018-10-24,180.61502075195312
2018-10-25,184.7854461669922
2018-10-26,183.36073303222656
2018-10-29,185.1998748779297
2018-10-30,189.33578491210938
2018-10-31,194.59414672851562
2018-11-01,195.9756622314453
2018-11-02,198.32420349121094
2018-11-05,197.4866943359375
2018-11-06,197.03768920898438
2018-11-07,199.69708251953125
2018-11-08,200.01658630371094
2018-11-09,192.24559020996094
2018-11-12,177.91244506835938
2018-11-13,177.04896545410156
2018-11-14,174.8385772705078
2018-11-15,175.91787719726562
2018-11-16,174.51914978027344
2018-11-19,171.15167236328125
2018-11-20,165.21121215820312
2018-11-21,166.2991180419922
2018-11-23,163.27708435058594
2018-11-26,167.801513671875
2018-11-27,167.20571899414062
2018-11-28,171.26393127441406
2018-11-29,168.92320251464844
2018-11-30,165.3166961669922
2018-12-03,166.13165283203125
2018-12-04,159.78564453125
2018-12-06,159.5949249267578
2018-12-07,155.76303100585938
2018-12-10,155.0347900390625
2018-12-11,153.27493286132812
2018-12-12,153.18821716308594
2018-12-13,152.5120086669922
2018-12-14,149.7811737060547
2018-12-17,145.65452575683594
2018-12-18,148.68014526367188
2018-12-19,146.7295684814453
2018-12-20,146.00128173828125
2018-12-21,138.75367736816406
2018-12-24,135.54600524902344
2018-12-26,141.25047302246094
2018-12-27,143.4005126953125
2018-12-28,141.33718872070312
2018-12-31,144.82225036621094
2019-01-02,149.1396026611328
2019-01-03,146.95489501953125
2019-01-04,151.75779724121094
2019-01-07,152.59872436523438
2019-01-08,152.03524780273438
2019-01-09,152.98886108398438
2019-01-10,152.5813751220703
2019-01-11,153.3875732421875
2019-01-14,154.93946838378906
2019-01-15,155.9711151123047
2019-01-16,170.85647583007812
2019-01-17,172.5989990234375
2019-01-18,175.5899658203125
2019-01-22,171.37664794921875
2019-01-23,170.70040893554688
2019-01-24,171.48065185546875
2019-01-25,174.0294189453125
2019-01-28,173.1452178955078
2019-01-29,173.82139587402344
2019-01-30,175.5379180908203
2019-01-31,171.66268920898438
2019-02-01,170.38832092285156
2019-02-04,171.4112548828125
2019-02-05,171.66268920898438
2019-02-06,170.4576416015625
2019-02-07,167.3800506591797
