,HUM
2016-12-23,193.90170288085938
2016-12-27,194.40170288085938
2016-12-28,193.0243377685547
2016-12-29,191.43934631347656
2016-12-30,192.486572265625
2017-01-03,186.42979431152344
2017-01-04,186.5902099609375
2017-01-05,189.37327575683594
2017-01-06,190.31671142578125
2017-01-09,191.50538635253906
2017-01-10,189.85208129882812
2017-01-11,192.24234008789062
2017-01-12,193.91455078125
2017-01-13,191.71327209472656
2017-01-17,192.7714080810547
2017-01-18,194.72706604003906
2017-01-19,194.6231689453125
2017-01-20,189.45523071289062
2017-01-23,193.6973114013672
2017-01-24,188.89785766601562
2017-01-25,190.5984649658203
2017-01-26,189.0773162841797
2017-01-27,190.52288818359375
2017-01-30,188.25538635253906
2017-01-31,187.53733825683594
2017-02-01,187.51844787597656
2017-02-02,188.3782196044922
2017-02-03,187.29171752929688
2017-02-06,185.6194610595703
2017-02-07,184.45741271972656
2017-02-08,188.61441040039062
2017-02-09,195.5962677001953
2017-02-10,194.08457946777344
2017-02-13,195.2845001220703
2017-02-14,194.5948486328125
2017-02-15,193.98069763183594
2017-02-16,197.21188354492188
2017-02-17,193.3004913330078
2017-02-21,193.99960327148438
2017-02-22,194.33975219726562
2017-02-23,193.68785095214844
2017-02-24,195.83245849609375
2017-02-27,197.22129821777344
2017-02-28,199.58323669433594
2017-03-01,202.17189025878906
2017-03-02,200.83033752441406
2017-03-03,202.1529998779297
2017-03-06,200.99095153808594
2017-03-07,205.91319274902344
2017-03-08,205.44076538085938
2017-03-09,205.7620391845703
2017-03-10,205.89427185058594
2017-03-13,207.07525634765625
2017-03-14,205.9604034423828
2017-03-15,206.98080444335938
2017-03-16,207.14137268066406
2017-03-17,206.8107452392578
2017-03-20,203.5040283203125
2017-03-21,201.75619506835938
2017-03-22,201.54832458496094
2017-03-23,198.31724548339844
2017-03-24,195.82302856445312
2017-03-27,192.24234008789062
2017-03-28,195.2183837890625
2017-03-29,195.02908325195312
2017-03-30,195.82421875
2017-03-31,195.13316345214844
2017-04-03,198.56935119628906
2017-04-04,199.78103637695312
2017-04-05,198.8533477783203
2017-04-06,201.24826049804688
2017-04-07,199.49700927734375
2017-04-10,201.22930908203125
2017-04-11,201.53219604492188
2017-04-12,201.61741638183594
2017-04-13,200.490966796875
2017-04-17,201.4091796875
2017-04-18,200.3963165283203
2017-04-19,201.7310028076172
2017-04-20,202.80068969726562
2017-04-21,202.26112365722656
2017-04-24,202.3462371826172
2017-04-25,206.33151245117188
2017-04-26,207.63787841796875
2017-04-27,206.99411010742188
2017-04-28,210.12738037109375
2017-05-01,211.44317626953125
2017-05-02,213.5541534423828
2017-05-03,212.05848693847656
2017-05-04,216.63059997558594
2017-05-05,217.4920196533203
2017-05-08,217.0092010498047
2017-05-09,218.2776641845703
2017-05-10,218.47645568847656
2017-05-11,218.41018676757812
2017-05-12,219.60296630859375
2017-05-15,218.7699432373047
2017-05-16,214.1220703125
2017-05-17,212.91036987304688
2017-05-18,216.59274291992188
2017-05-19,215.7218017578125
2017-05-22,218.00314331054688
2017-05-23,217.03762817382812
2017-05-24,219.24319458007812
2017-05-25,219.83010864257812
2017-05-26,219.8490447998047
2017-05-30,218.06944274902344
2017-05-31,219.85848999023438
2017-06-01,222.45217895507812
2017-06-02,221.70440673828125
2017-06-05,220.33180236816406
2017-06-06,221.03233337402344
2017-06-07,221.26895141601562
2017-06-08,217.9652862548828
2017-06-09,217.42575073242188
2017-06-12,215.92066955566406
2017-06-13,219.56504821777344
2017-06-14,219.337890625
2017-06-15,220.00045776367188
2017-06-16,221.94105529785156
2017-06-19,222.916015625
2017-06-20,220.53060913085938
2017-06-21,223.59759521484375
2017-06-22,224.3453826904297
2017-06-23,225.6896209716797
2017-06-26,222.2154998779297
